namespace,term_localName,label,definition,usage,rdf_type,tdwgutility_organizedInClass
abcd:,coverage,Coverage,"Free-form text terminology or descriptions available in a data source (geographic, taxonomic, etc.).",This element is used to give a broad overview of the content of the data set. More detailed information can be expressed in abcd:TaxonomicTerm and abcd:GeoecologicalTerm.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,uri of existing or newly minted class
abcd:,modifier,Modifier,Text specifying a status and optional number for a version.,"If the modifier is missing, the standard release version <Major>.<Minor> is assumed.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,name,Name,The name of a class in a specific language.,"Not to be used for Persons. Use abcd:FullName, abcd:GivenNames, abcd:InheritedName, etc. instead.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,fullName,Full Name,String of the preferred form of personal name for displaying.,To be used when no atomized name is available or to display the preferred combination of name particles. May include titles.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,sortingName,Sorting Name,The Full Name of a Person in a form appropriate for sorting alphabetically.,The form consists of the following: inherited name (western cultures: last name) followed by a comma then a space then given names or initials separated by a space.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,inheritedName,Inherited Name,"The inherited part of the name of a person. This may consist of family names, generational names, a clan name, parents or grandparents personal names, etc.","The inherited name (this being the lastname in western cultures) may be compound (e.g. 'Fischer von Waldheim', 'da Selva', 'Silvano Morales'). Depending on culture, the inherited name is not necessarily the name of the parents nor common to a married couple. Therefore, 'family name' should be avoided even though used in other ontologies.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,namePrefix,Name Prefix,The prefix for the Inherited Name of a Person.,"The prefix should be output before the name, but is usually not included in sorting. Compare Title for 'Prof', 'Dr.'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,givenNames,Given Names,"The name of a person, which is the first or Christian name in western cultures as well as any additional given names e.g. middle name.",May include several names separated by spaces.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,preferredName,Preferred Name,The preferred name of a Person.,"The preferred name may differ from the first given name (e.g. second given name, nickname).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,telephoneNumber,Telephone Number,Full telephone or fax number in standard international format.,"Numbers should be provided in the ITU Recommendation E.164 international format (""+Country-Code Area-Code Number"").",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,emailAddress,Email Address,An e-mail address of a contact.,"Email addresses should be written WITHOUT the ""mailto:"" prefix.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,resourceURI,Resource URI,An preferably resolvable URI to uniquely identify a concept.,Common identifiers are ORCIDs for person identifiers or stable CETAF identifiers for specimen.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,directAccessURL,Direct Access URL,An electronic source of the dataset that allows for querying and downloading of the data.,"Not to be confused with the abcd:WebsiteURL of the dataset, which is primarily to get additional information about the dataset whereas this property is to quickly access the data of the dataset.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,hasOtherLegalStatement,has Other Legal Statement,"Connects an instance of a class to an associated Legal Statement that can not be expressed by abcd:hasLicense, abcd:hasAcknowledgement or abcd:hasSuggestedCitation such as disclaimers and usage restrictions.",To express which kind of information were withheld in the publication of the corresponding instance (e.g. removal of coordinates of threatened species) please use abcd:InformationWithheld.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,hasLicense,has License,Property to connect a class to the license that applies to it.,"This should be used if the data is placed under a known and documented license (e.g. GNU Free Document License [GFDL], Creative Commons [CC], Open Database License [ODbL]). The corresponding properties for the Legal Statement class should be filled accordingly.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,hasAcknowledgement,has Acknowledgement,"Property to connect an instance of a class to acknowledgement information (e.g. to declare grant money, help, permissions to reuse published materials, related scientific work used).",To suggest a citation format for the current instance please use abcd:hasSuggestedCitation.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
