term_localName,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass
Accuracy,accuracy,experimental degree of eror,,,+/- 5%,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AlterationDegree,alteration degree,Free text describing the degree of alteration or metamorphic phase that has affected a rock. [This element may need to be split into hydrothermal mineralogical change and metamorphic phases],,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AlterationType,alteration type,Free text describing the type of change that has taken place,,,"chloritisation, migmatisation, cataclastic brecciation etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisBy,analysis by,Persons or organisations carrying out the analysis ,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisDateTime,analysis date time,When the analysis was carried out,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisMethod,analysis method,Analytical method used,,,"x-ray diffraction, electron probe, chemical analysis or thin section.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisReference,analysis reference,Individual documentary reference linked to an analysis. Uses abcd:Reference Type,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisReferences,analysis references,Container for 1 or more references related to the analysis,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisResult,analysis result,Individual measurement made during an analysis,,,the chemical composition of a mineral,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisResultComment,analysis result comment,Free text comment relating to the analysis results,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisResults,analysis results,Container for multiple values obtained by analysis,,,percentages of different elements present,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisText,analysis text,"Free text to describe the analysis. This may be of value, for instance, if the mineral has been confirmed by x-ray diffraction but no actual analysis data are given in the analytical results.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AppliesTo,applies to,Used to qualify the measurement parameter,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Articulation,articulation,Free text description of the articulation in the preserved specimen - applies to invertebrate shells and exoskeletons as well as vertebrate skeletons.,,,"articulated, dis-articulated, single valves etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AssemblageOrigin,assemblage origin,Free text description relating to the mode of origin of the assemblage,,,"unknown, allocthonous, autocthonous, paraautocthonous etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AssociatedFossilAssemblage,associated fossil assemblage,Container element for describing fossil assemblage associated with the rock or mineral unit ,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AssociatedFossilAssemblageText,associated fossil assemblage text,"Free text for describing the occurrence, form or other features associated with this fossil assemblage",,,"fore-reef community, condensed reworked assemblage, serpulid bioherm with high concentration of gastropods etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AssociatedFossilComment,associated fossil comment,Free text for describing occurrence of this particular taxon or any of its features.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AssociatedFossilList,associated fossil list,Container for one or more fossil taxa (including ichnotaxa) that constitute the fossil assemblage associated with the unit being described. Note that highly detailed information on identification or description of the taxa in the assemblage should be treated as separate but related units.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AssociatedFossilName,associated fossil name,A single taxon name at any level,,,trilobite or Dalmanites myops,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AssociatedMineralAssemblage,associated mineral assemblage,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AssociatedMineralAssemblageText,associated mineral assemblage text,Free text for describing the features or characteristics of the overall mineral assemblage,,,typical North Yorkshire primary copper-rich sulphide assemblage with complex secondary alteration products,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AssociatedMineralComment,associated mineral comment,Free text for describing the occurrence of this particular mineral or any of its features.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AssociatedMineralList,associated mineral list,A single mineral name at any level of accuracy,,,"feldspar, pyroxene etc. or orthoclase, olivine, horneblende etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AssociatedMineralName,associated mineral name,A single mineral name at any level of accuracy,,,"feldspar, pyroxene etc. or orthoclase, olivine, horneblende etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AuthorTeamAndYear,author team and year,who named the mineral or rock and when,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
BaselineDatum,baseline datum,Text - what is the baseline,,,top of borehole or base of measured section,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Bed,bed,The smallest division of a named stratified series normally with well defined division from adjacent deposits.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Bioerosion,bioerosion,"Free text description of damage due to biological action, such as, boring worms and sponges.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
BiostratigraphicAttribution,biostratigraphic attribution,A single declaration of a fossil zone or subzone.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
BiostratigraphicAttributions,biostratigraphic attributions,Container for optional multiple references to fossil zones,,,where a range of zones and subzones might be represented.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Borehole,borehole,Container for details specific to boreholes and wells. Does not contain spatial reference as this and details of platform etc. are under Gathering in main ABCD schema - but they could be copied to make an independent schema.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
BottomSurface,bottom surface,Container for details of bottom surface of layer or stratum,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
BottomSurfaceFeature,bottom surface feature,Text describing features at the base of a layer or stratum,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Certainty,certainty,Degree of certainty associated with the date determination,,,"unknown, certain, uncertain, possibly, known wrong.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
ChronoStratigraphicDivision,chrono stratigraphic division,Classification level for the term,,,"eon, system, stage etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
ChronostratigraphicAttribution,chronostratigraphic attribution,A single declaration of an identifed chronostratigraphic date,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
ChronostratigraphicAttributions,chronostratigraphic attributions,Allows for multiple and range declarations of chronostratigraphic terms. This element combines both chronostratigraphic and geochronologic terms with preference for chronostratigraphic. (Zalasiewicz et al. 2004),,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
ChronostratigraphicName,chronostratigraphic name,The formal  geo/chrono chronologic name,,,"Jurassic, Kimmeridgian etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
ClassifiedName,classified name,The formal name for the rock or mineral according to a given classification scheme,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CommissionedBy,commissioned by,Company or organisation who commissioned the borehole or well,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Completeness,completeness,Free text descrbing the degree of completeness of the specimen,,,"complete, cephalon only, but may describe completeness of a part",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Contractor,contractor,The drilling contractor who carried out the work,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalForm,crystal form,Container element for describing the crystal form of a mineral unit.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalFormText,crystal form text,Free text description of crystal form,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement,crystal measurement,Individual measurement or fact related to a crystal unit - container for standard MeasurementOrFact complex type from main schema,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurements,crystal measurements,container for measurements of crystal physical and chemical characteristics,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DateText,date text,Free text to allow for vague dates or description of analysis period.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DatingAccuracy,dating accuracy,The degree of certainty or likely accuracy of the dating analysis,,,+/- 1 m.y.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DatingComment,dating comment,Free text description of the anlysis or its result.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DatingQualifier,dating qualifier,Allows for qualification of date terms,,,"early/lower, middle, late/upper",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DepositionalEnvironment,depositional environment,Container for describing the original environment in which thr rock was deposited or the mineral formed,,,"hypersaline lagoon, lacustrine, intertidal etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DepositionalEnvironmentText,depositional environment text,free text describing the original environment in which thr rock was deposited or the mineral formed,,,"hypersaline lagoon, lacustrine, intertidal etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DepositionalEnvironmentType,depositional environment type,keywords from enumerated list for indexing of depositional environments,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DiageneticChange,diagenetic change,Free text for describing any physical and chemical changes that took place in a sediment during the lithification process,,,"compaction, cementation, recrystallisation, dolomitisation and replacement.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DipDegrees,dip degrees,The dip in degrees of laminae or stratal surfaces in this layer,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DistanceFromBaseline,distance from baseline,Number representing distance measured,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DrillMethod,drill method,How the borehole or well was drilled,,,"reverse circulation drilling, diamond coring, percussion drilling, auger drilling, rotary/barber drilling etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
EarliestDate,earliest date,The earliest date in a date range suggested by the analysis or the single date if only one is given,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Encrustation,encrustation,"Free text description of biological encrustations, such as oysters and tube worms.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
ExactDate,exact date,Uses DateTime element from ABCD,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
FeedingPredationTraces,feeding predation traces,Free text description relating to aspects of feeding and predation,,,"ammonite with bite mark from plesiosaur,  shell drilled by predatory gastropod etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Formation,formation,The primary lithostratigraphic unit characterised by its lithologic features although it may be diachronous. ,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
FossilSubzoneName,fossil subzone name,"The subzone name, if any, this should ideally be in expanded form rather than abbreviated.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
FossilZoneName,fossil zone name,The actual name of the biozone. Ideally this should be in its expanded form although common usage tends to abbreviate the generic epithet.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
FullScientificNameString,full scientific name string,Full formal name string as used in 'Taxon Identified' in main schema,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists,geologists,The geologist(s) and or organisation responsible for logging the borehole and or maintaining the borehole record.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Group,group,Lithostratigraphic unit consisting of two or more formations,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Hazard,hazard,Container for describing hazards that may be associated with the specimen,,,"radioactive, toxic, carcinogens etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HazardKeywords,hazard keywords,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HazardText,hazard text,Free text describing any hazards that may be associated with the specimen/unit,,,"is it radioactive, poisonous, carcinogenic?",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
