iri,part_label,subjectPart_cv_string,view_label,subjectOrientation_cv_string
http://bioimages.vanderbilt.edu/rdf/stdview#010200,bark,bark,unspecified bark view,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#010201,bark,bark,bark of a large tree,lateral
http://bioimages.vanderbilt.edu/rdf/stdview#010203,bark,bark,bark of a small tree or small branch,lateral
http://bioimages.vanderbilt.edu/rdf/stdview#010202,bark,bark,bark of a medium tree or large branch,lateral
http://bioimages.vanderbilt.edu/rdf/stdview#030200,bark,bark,unspecified bark view,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#030201,bark,bark,bark of a large tree,lateral
http://bioimages.vanderbilt.edu/rdf/stdview#030202,bark,bark,bark of a medium tree or large branch,lateral
http://bioimages.vanderbilt.edu/rdf/stdview#030203,bark,bark,bark of a small tree or small branch,lateral
http://bioimages.vanderbilt.edu/rdf/stdview#030501,cone,maleCone,male cones,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#030502,cone,femaleCone,mature open female cone,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#030500,cone,strobilis,unspecified cone view,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#030503,cone,femaleCone,mature closed female cone,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#030504,cone,femaleCone,receptive female cone,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#030505,cone,femaleCone,one year-old female cone,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#000100,entire organism,entireOrganism,unspecified view of entire organism,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#010101,entire organism,entireOrganism,general view of entire organism,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#010100,entire organism,entireOrganism,unspecified view of entire organism,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#010102,entire organism,entireOrganism,view of entire organism in winter,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#010103,entire organism,entireOrganism,view up trunk,lateral
http://bioimages.vanderbilt.edu/rdf/stdview#020102,entire organism,entireOrganism,whole plant in flower,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#020101,entire organism,entireOrganism,whole juvenile plant,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#020100,entire organism,entireOrganism,unspecified view of entire organism,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#020103,entire organism,entireOrganism,whole plant in fruit,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#030102,entire organism,entireOrganism,view up trunk,lateral
http://bioimages.vanderbilt.edu/rdf/stdview#030101,entire organism,entireOrganism,general view of entire organism,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#030100,entire organism,entireOrganism,unspecified view of entire organism,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#040100,entire organism,entireOrganism,unspecified view of entire organism,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#050100,entire organism,entireOrganism,unspecified view of entire organism,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#060100,entire organism,entireOrganism,unspecified view of entire organism,unspecifiedOrientation
http://bioimages.vanderbilt.edu/rdf/stdview#010602,fruit,fruit,lateral or general close-up of fruit,lateral
http://bioimages.vanderbilt.edu/rdf/stdview#010601,fruit,fruit,fruit as borne on plant,unspecifiedOrientation
