rdf_about,dcterms_issued,dcterms_modified,localName,rdfs_comment,dcterms_description,skos_prefLabel,rdfs_isDefinedBy,rdf_type,rdfs_subPropertyOf,dwcattributes_status,dwcattributes_abcdEquivalence,dwcattributes_organizedInClass,dwcattributes_decision,dcterms_replaces,dcterms_replaces1,dcterms_replaces2
http://rs.tdwg.org/dwc/terms/Dataset-2008-11-19,2008-11-19,2008-11-19,Dataset,The category of information pertaining to a logical set of records.,,Dataset,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,http://purl.org/dc/dcmitype/Dataset,deprecated,DataSets/DataSet,,,,,
http://rs.tdwg.org/dwc/terms/Event-2009-04-29,2008-11-19,2014-10-23,Event,The category of information pertaining to an event (an action that occurs at a place and during a period of time).,,Event,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,DataSets/DataSet/Units/Unit/Gathering,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/terms/SamplingEvent-2008-11-19,,
http://rs.tdwg.org/dwc/terms/Event-2014-10-23,2008-11-19,2014-10-23,Event,An action that occurs at some location during some time.,Examples: A specimen collection process. A machine observation.,Event,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,DataSets/DataSet/Units/Unit/Gathering,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/terms/Event-2009-04-29,,
http://rs.tdwg.org/dwc/terms/EventAttribute-2008-11-19,2008-11-19,2008-11-19,EventAttribute,Container class for information about attributes related to a given sampling event.,,Event Attribute,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts,,,,,
http://rs.tdwg.org/dwc/terms/EventMeasurement-2008-11-19,2008-11-19,2009-04-24,EventMeasurement,The category of information pertaining to measurements associated with an event.,,Event Measurement,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts,http://rs.tdwg.org/dwc/terms/Event,,,,
http://rs.tdwg.org/dwc/dwctype/FossilSpecimen-2008-11-19,2008-11-19,2008-11-19,FossilSpecimen,A resource describing a fossilized specimen.,,Fossil Specimen,http://rs.tdwg.org/dwc/dwctype/,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/dwctype/Occurrence,superseded,RecordBasisEnum/FossileSpecimen,,,,,
http://rs.tdwg.org/dwc/dwctype/FossilSpecimen-2011-10-16,2008-11-19,2014-10-23,FossilSpecimen,A resource describing a fossilized specimen.,,Fossil Specimen,http://rs.tdwg.org/dwc/dwctype/,http://www.w3.org/2000/01/rdf-schema#Class,,deprecated,RecordBasisEnum/FossileSpecimen,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/dwctype/FossilSpecimen-2008-11-19,,
http://rs.tdwg.org/dwc/terms/FossilSpecimen-2014-10-23,2014-10-23,2014-10-23,FossilSpecimen,A preserved specimen that is a fossil.,,Fossil Specimen,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,RecordBasisEnum/FossileSpecimen,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/dwctype/FossilSpecimen-2011-10-16,,
http://rs.tdwg.org/dwc/terms/GeologicalContext-2009-07-06,2009-07-06,2014-10-23,GeologicalContext,"The category of information pertaining to a location within a geological context, such as stratigraphy.",,Geological Context,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,DataSets/DataSet/Units/Unit/Gathering/Stratigraphy,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,,,
http://rs.tdwg.org/dwc/terms/GeologicalContext-2014-10-23,2009-07-06,2014-10-23,GeologicalContext,"Geological information, such as stratigraphy, that qualifies a region or place.",Example: A lithostratigraphic layer.,Geological Context,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,DataSets/DataSet/Units/Unit/Gathering/Stratigraphy,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/terms/GeologicalContext-2009-07-06,,
