iri,cv_string
http://purl.obolibrary.org/obo/ENVO_01001230,tropicalMarginalSea
http://purl.obolibrary.org/obo/ENVO_01001830,tropical
http://purl.obolibrary.org/obo/ENVO_01001831,temperate
http://purl.obolibrary.org/obo/ENVO_01001832,subtropical
http://purl.obolibrary.org/obo/ENVO_01001833,mediterranean
http://purl.obolibrary.org/obo/ENVO_01001834,subpolar
http://purl.obolibrary.org/obo/ENVO_01001835,alpine
http://purl.obolibrary.org/obo/ENVO_01001836,montane
http://purl.obolibrary.org/obo/ENVO_01001837,subalpine
http://purl.obolibrary.org/obo/ENVO_01001838,arid
http://purl.obolibrary.org/obo/ENVO_01001505,alpineTundra
http://purl.obolibrary.org/obo/ENVO_01000033,oceanicPelagicZone
http://purl.obolibrary.org/obo/ENVO_00000446,terrestrial
http://purl.obolibrary.org/obo/ENVO_00000447,marine
http://purl.obolibrary.org/obo/ENVO_00000873,freshwater
http://purl.obolibrary.org/obo/ENVO_00000887,largeRiver
http://purl.obolibrary.org/obo/ENVO_00000888,largeRiverHeadwater
http://purl.obolibrary.org/obo/ENVO_00000889,largeRiverDelta
http://purl.obolibrary.org/obo/ENVO_00000890,smallRiver
http://purl.obolibrary.org/obo/ENVO_00000891,largeLake
http://purl.obolibrary.org/obo/ENVO_00000892,smallLake
http://purl.obolibrary.org/obo/ENVO_00000893,xericBasin
http://purl.obolibrary.org/obo/ENVO_00002030,aquatic
http://purl.obolibrary.org/obo/ENVO_01000004,concentrationBasinMediterraneanSea
http://purl.obolibrary.org/obo/ENVO_01000020,estuarine
http://purl.obolibrary.org/obo/ENVO_01000022,marineSaltMarsh
http://purl.obolibrary.org/obo/ENVO_01000023,marinePelagic
http://purl.obolibrary.org/obo/ENVO_01000024,marineBenthic
http://purl.obolibrary.org/obo/ENVO_01000025,marineNeriticBenthicZone
http://purl.obolibrary.org/obo/ENVO_01000026,marineBathyalZone
http://purl.obolibrary.org/obo/ENVO_01000027,marineAbyssalZone
http://purl.obolibrary.org/obo/ENVO_01000028,marineHadalZone
http://purl.obolibrary.org/obo/ENVO_01000029,marineReef
http://purl.obolibrary.org/obo/ENVO_01000030,marineHydrothermalVent
