rdf_about,dcterms_issued,dcterms_modified,localName,rdfs_comment,dcterms_description,skos_prefLabel,rdfs_isDefinedBy,rdf_type,rdfs_subPropertyOf,dwcattributes_status,dwcattributes_abcdEquivalence,dwcattributes_organizedInClass,dwcattributes_decision,dcterms_replaces,dcterms_replaces1,dcterms_replaces2
http://rs.tdwg.org/dwc/terms/DwCType-2008-11-19,2008-11-19,2014-10-23,DwCType,"The set of classes specified by the Darwin Core Type Vocabulary, used to categorize the nature or genre of the resource.",,Darwin Core Type,http://rs.tdwg.org/dwc/terms/,http://purl.org/dc/dcam/VocabularyEncodingScheme,,deprecated,not in ABCD,,,,,
http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/Bed-2005-07-03,2005-07-03,2005-07-03,Bed,The full name of the lithostratigraphic bed from which the cataloged item was collected.,,Bed,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/,,,superseded,not in ABCD,http://rs.tdwg.org/dwc/terms/paleo,,,,
http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestAgeOrLowestStage-2005-07-03,2005-07-03,2005-07-03,EarliestAgeOrLowestStage,The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.,,Earliest Age Or Lowest Stage,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/,,,superseded,not in ABCD,http://rs.tdwg.org/dwc/terms/paleo,,,,
http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestEonOrLowestEonothem-2005-07-03,2005-07-03,2005-07-03,EarliestEonOrLowestEonothem,"The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name (""Precambrian"") attributable to the stratigraphic horizon from which the cataloged item was collected.",,Earliest Eon Or Lowest Eonothem,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/,,,superseded,not in ABCD,http://rs.tdwg.org/dwc/terms/paleo,,,,
http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestEpochOrLowestSeries-2005-07-03,2005-07-03,2005-07-03,EarliestEpochOrLowestSeries,The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.,,Earliest Epoch Or Lowest Series,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/,,,superseded,not in ABCD,http://rs.tdwg.org/dwc/terms/paleo,,,,
http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestEraOrLowestErathem-2005-07-03,2005-07-03,2005-07-03,EarliestEraOrLowestErathem,The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.,,Earliest Era Or Lowest Erathem,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/,,,superseded,not in ABCD,http://rs.tdwg.org/dwc/terms/paleo,,,,
http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestPeriodOrLowestSystem-2005-07-03,2005-07-03,2005-07-03,EarliestPeriodOrLowestSystem,The full name of the earliest possible geochronologic period or lowest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.,,Earliest Period Or Lowest System,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/,,,superseded,not in ABCD,http://rs.tdwg.org/dwc/terms/paleo,,,,
http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/Formation-2005-07-03,2005-07-03,2005-07-03,Formation,The full name of the lithostratigraphic formation from which the cataloged item was collected.,,Formation,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/,,,superseded,not in ABCD,http://rs.tdwg.org/dwc/terms/paleo,,,,
http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/Group-2005-07-03,2005-07-03,2005-07-03,Group,The full name of the lithostratigraphic group from which the cataloged item was collected.,,Group,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/,,,superseded,not in ABCD,http://rs.tdwg.org/dwc/terms/paleo,,,,
http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/HighestBiostratigraphicZone-2005-07-03,2005-07-03,2005-07-03,HighestBiostratigraphicZone,The full name of the highest possible geological biostratigraphic zone of the stratigraphic horizon from which the cataloged item was collected.,,Highest Biostratigraphic Zone,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/,,,superseded,not in ABCD,http://rs.tdwg.org/dwc/terms/paleo,,,,
