header,predicate,type,value,attribute,subject_id
rdf_about,dcterms:hasVersion,iri,,,$root
dcterms_issued,dcterms:issued,datatype,,xsd:date,$root
dcterms_modified,dcterms:modified,datatype,,xsd:date,$root
rdfs_comment,rdfs:comment,language,,en,$root
dcterms_description,dcterms:description,language,,en,$root
skos_prefLabel,rdfs:label,language,,en,$root
rdfs_isDefinedBy,rdfs:isDefinedBy,iri,,,$root
rdf_type,rdf:type,iri,,,$root
rdfs_subPropertyOf,rdfs:subPropertyOf,iri,,,$root
dwcattributes_status,tdwgutility:status,plain,,,$root
dwcattributes_abcdEquivalence,tdwgutility:abcdEquivalence,plain,,,$root
dwcattributes_organizedInClass,tdwgutility:organizedInClass,iri,,,$root
dwcattributes_decision,tdwgutility:decision,iri,,,$root
dcterms_replaces,dcterms:replaces,iri,,,$root
dcterms_replaces1,dcterms:replaces,iri,,,$root
dcterms_replaces2,dcterms:replaces,iri,,,$root
