"rdf:about","dcterms:issued","dcterms:modified","rdfs:label","rdfs:comment","dcterms:description","skos:prefLabel","rdfs:isDefinedBy","rdf:type","rdfs:subPropertyOf","dwcattributes:status","dwcattributes:abcdEquivalence","dwcattributes:organizedInClass","dwcattributes:decision","dcterms:replaces","dcterms:replaces1","dcterms:replaces2"
"http://rs.tdwg.org/dwc/terms/acceptedNameUsage-2009-09-21","2008-11-19","2009-09-21","acceptedNameUsage","The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) taxon.","Example: ""Tamias minimus"" valid name for ""Eutamias minimus""","Accepted Name Usage","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"recommended","not in ABCD","http://rs.tdwg.org/dwc/terms/Taxon",,"http://rs.tdwg.org/dwc/terms/acceptedScientificName-2009-07-06",,
"http://rs.tdwg.org/dwc/terms/acceptedNameUsageID-2009-09-21","2009-01-21","2009-09-21","acceptedNameUsageID","An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.","Example: ""8fa58e08-08de-4ac1-b69c-1235340b7001""","Accepted Name Usage ID","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://purl.org/dc/terms/identifier","recommended","not in ABCD","http://rs.tdwg.org/dwc/terms/Taxon",,"http://rs.tdwg.org/dwc/terms/acceptedTaxonID-2009-08-24",,
"http://rs.tdwg.org/dwc/terms/acceptedScientificName-2009-07-06","2008-11-19","2009-07-06","acceptedScientificName","The currently valid (zoological) or accepted (botanical) name for the scientificName.","Example: ""Tamias minimus"" valid name for ""Eutamias minimus""","Accepted Scientific Name","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"superseded","not in ABCD","http://rs.tdwg.org/dwc/terms/Taxon",,"http://rs.tdwg.org/dwc/terms/acceptedTaxonName-2009-04-24",,
"http://rs.tdwg.org/dwc/terms/acceptedScientificNameID-2009-07-06","2009-01-21","2009-07-06","acceptedScientificNameID","A unique identifier for the acceptedScientificName.",,"Accepted Scientific Name ID","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://purl.org/dc/terms/identifier","superseded","not in ABCD","http://rs.tdwg.org/dwc/terms/Taxon",,"http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID-2009-04-24",,
"http://rs.tdwg.org/dwc/terms/AcceptedTaxon-2008-11-19","2008-11-19","2008-11-19","AcceptedTaxon","The currently valid (zoological) or accepted (botanical) name for the ScientificName.",,"Accepted Taxon","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"superseded","not in ABCD","http://rs.tdwg.org/dwc/terms/Taxon",,,,
"http://rs.tdwg.org/dwc/terms/AcceptedTaxonID-2009-01-21","2009-01-21","2009-01-21","AcceptedTaxonID","A global unique identifier for the parent to the AcceptedTaxon.",,"Accepted Taxon ID","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://purl.org/dc/terms/identifier","superseded","not in ABCD","http://rs.tdwg.org/dwc/terms/Taxon",,,,
"http://rs.tdwg.org/dwc/terms/acceptedTaxonID-2009-08-24","2009-01-21","2009-08-24","acceptedTaxonID","An identifier for the name of the currently valid (zoological) or accepted (botanical) taxon. See acceptedTaxon.","Example: ""8fa58e08-08de-4ac1-b69c-1235340b7001""","Accepted Taxon ID","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://purl.org/dc/terms/identifier","superseded","not in ABCD","http://rs.tdwg.org/dwc/terms/Taxon",,"http://rs.tdwg.org/dwc/terms/acceptedScientificNameID-2009-07-06",,
"http://rs.tdwg.org/dwc/terms/acceptedTaxonName-2009-04-24","2008-11-19","2009-04-24","acceptedTaxonName","The currently valid (zoological) or accepted (botanical) name for the scientificName.","Example: ""Tamias minimus"" valid name for ""Eutamias minimus""","Accepted Taxon Name","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"superseded","not in ABCD","http://rs.tdwg.org/dwc/terms/Taxon",,"http://rs.tdwg.org/dwc/terms/AcceptedTaxon-2008-11-19",,
"http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID-2009-04-24","2009-01-21","2009-04-24","acceptedTaxonNameID","A unique identifier for the acceptedTaxonName.",,"Accepted Taxon Name ID","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://purl.org/dc/terms/identifier","superseded","not in ABCD","http://rs.tdwg.org/dwc/terms/Taxon",,"http://rs.tdwg.org/dwc/terms/AcceptedTaxonID-2009-01-21",,
"http://rs.tdwg.org/dwc/terms/AccessConstraints-2008-11-19","2008-11-19","2008-11-19","AccessConstraints","A description of constraints on the use of the data as shared or access to further data that is not shared.","Example: ""not-for-profit use only"".","Access Constraints","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"superseded","DataSets/DataSet/Units/Unit/IPRStatements","http://rs.tdwg.org/dwc/terms/Sample",,,,
"http://rs.tdwg.org/dwc/terms/accordingTo-2009-01-21","2009-01-21","2009-01-21","accordingTo","Abstract term to attribute information to a source.",,"According To","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"recommended","not in ABCD",,,,,
