Dataset,"Root element from which all other elements will branch from"
 Abstract,""
 AncillaryData,""
 AnnualCycleAtomized,""
 AnnualCycles,""
 AnnualCycleUnstructured,""
 DistributionAtomized,""
 Audience,"Repetitive concept where the target audiences are written one by one. (Predetermined list:						01. Expert (High).							02. Knowledgeable (Medium).							03. General (Low)."
 AudiencesUnstructured,"List audience codes separated by means of comma or /."
 BaseElements,""
 Behavior,"Responses, reactions or movements made by an organism in a particular situation."
 BehaviorAtomized,""
 BehaviorUnstructured,""
 BriefDescription,"Brief description which reflect only the diagnostic characters, i.e. those that distinguish a taxon from other related or close taxa."
 CommonNamesAtomized,""
 CommonNames,""
 DemographyAndThreat,""
 DemographyAndThreatUnstructured,""
 DetailAtomized,""
 DetailUnstructured,""
 DirectThreats,"Direct threats are the proximate human activities or processes that have caused, are causing, or may cause the destruction, degradation, and/or impairment of biodiversity targets (e.g., unsustainable fishing or logging). Direct threats are synonymous with sources of stress and proximate pressures. Threats can be past (historical), ongoing, and/or likely to occur in the future."
 DirectThreatAtomized,""
 DirectThreatUnstructured,""
 Dispersal,""
 DispersalAtomized,""
 DispersalUnstructured,""
 Distribution,""
 DistributionUnstructured,""
 EcologicalSignificance,"Ecological importance of the taxon. (Placeholder)"
 EcologicalSignificanceAtomized,""
 EcologicalSignificanceUnstructured,""
 Endemic,""
 EndemicAtomized,"List of areas structured and categorized the degree of safety."
 EnvironmentalEnvelope,""
 EnvironmentalEnvelopeAtomized,""
 EnvironmentalEnvelopeUnstructured,""
 EndemicUnstructured,"List of areas presented in an unstructured and categorized the degree of safety."
 Feeding,""
 FeedingAtomized,""
 FeedingUnstructured,""
 FullDescription,"Complete and detailed account of the taxonomic and systematic characters, i.e. those that define and allow to recognize an organism."
 FullDescriptionAtomized,""
 FullDescriptionUnstructured,""
 HabitatAtomized,""
 HabitatAndDistribution,""
 HabitatAndDistributionUnstructured,""
 Habitats,""
 HabitatUnstructured,""
 Hierarchy,""
 InteractionAtomized,""
 IdentificationKeys,"Tool for the identification of organisms, comprising a series of steps, each of which represents a question about one or more characters of the organism. Each step offers multiple alternatives, choosing one of them will lead us to the next step until ending, finally, in the name of the organism. Most printed keys have only two alternatives, so called dichotomous keys.                                                      A taxon includes a key or an identification of key  in the subordinate taxons.
For example: 
If we are in a register of a genre, this register would include the keys of the species that this register includes, and if it´s one specie, then it would include the key of the infraspecific rank (For plants: subspecies, variety forms)"
 Interactions,""
 InteractionUnstructured,""
 Invasiveness,"Information about invasive exotic species that could threaten to ecosystem, habitats and species"
 InvasivenessAtomized,""
 InvasivenessUnstructured,""
 Keys,"Dichotomic  or multientrance keys."
 LegislationAtomized,""
 Language,"The language of the taxon record, according to ISO 639."
 LifeCycle,"Life history of a living organism: The course of developmental changes in an organism from fertilized zygote to maturity or stages through which an organism passes."
 LifeForm,"General appearance. Characteristic mode of growth or occurrence associated to its environment, particularly for plants. Comprising its size, shape, texture and orientation. Example: tree, shrubs, herbs."
 LifeCycleAtomized,""
 LifeCycleUnstructured,""
 LifeFormAtomized,""
 LifeFormUnstructured,""
 Legislation,""
 LegislationUnstructured,""
 ManagementAndConservation,"Management: actions directed at conserving or restoring species / Conservation: interventions undertaken designed to preserve species"
 ManagementAndConservationAtomized,""
 ManagementAndConservationUnstructured,""
 MeasurementOrFact,""
 Metadata,""
 Migratory,""
 MigratoryAtomized,""
 MigratoryUnstructured,""
 MiscDetails,""
 MolecularData,"Information on the chemical structures and biological processes at the molecular level: DNA and proteins sequences, protein structures, expression profiles of genes protein domains, families of genes,  mutations, polymorphisms, involvement in disease, ... Undeveloped. Placeholder for connecting with standards developed by specialists. For example, Standards for Data Exchange and Management from Scalalife (http://www.scalalife.eu/content/data)"
 MolecularDataAtomized,""
 MolecularDataUnstructured,""
 NaturalHistory,""
 NaturalHistoryUnstructured,""
 NomenclatureAndClassification,""
 CommonNamesUnstructured,""
 PopulationBiology,""
 PopulationBiologyAtomized,""
 PopulationBiologyUnstructured,""
 RecordMetadata,"This element includes the information about the Version, Revision,the language and target audiences of the Taxon Record."
 ReproductionAtomized,""
 Revision,""
 References,"From EOL"
 Reproduction,"All data related to the production of offspring."
 ReproductionUnstructured,""
 SynonymsAtomized,""
 Synonyms,""
 SynonymsUnstructured,""
 TargetAudiences,""
 TaxonomicDescription,""
 TaxonomicDescriptionUnstructured,""
 TaxonRecord,"Information about the record."
 TaxonRecordName,""
 TerritoryUnstructured,""
 Territory,""
 TerritoryAtomized,""
 ThreatStatusUnstructured,""
 ThreatStatus,""
 ThreatStatusAtomized,""
 UsesAtomized,""
 Uses,"Ways in which species are utilized by people"
 UsesManagementAndConservation,""
 UsesManagementAndConservationUnstructured,""
 UsesUnstructured,"Uses in a unstructured format."
 Value,""
 Version,""
 ID,""
