usda,tsn
abgr4,182382
abeli,182381
abes,21770
abma9,
abmo,21772
abelm,21769
abal3,506607
abam,181824
abba,18032
abbab,
abbap,
abbr,181825
abco,181826
abcoc,181827
abcol,181828
abfr,181829
abgr,183284
abgu,
abho,564982
abla,181830
ablaa,181833
ablal,181832
abma,181834
abpr,181835
abve2,
absh,500948
abies,18031
abab70,547520
abiet,547436
abov,40283
abild,40282
abal,19551
abam2,19552
abam3,184206
aban,19553
abar,181898
abbi,19554
abbo,
abca,19555
abel,19556
abfr2,19557
abgr2,19558
abin2,19559
abla2,19560
abma5,19561
abma2,19562
abme,19563
abmi2,19564
abna,19565
abnac,526847
abnah,184205
abnan,19566
abne,19568
abpo,19570
abtu,19571
abum,19572
abumb,19575
abumu,19573
abvi,19577
abvia,526848
abviv,526849
abron,19550
abbe2,
abbr3,
abce,
abcl,
abpa5,
abpe2,
abpr5,
abwe,
abrot,
abpr3,26416
abrus,26415
absp,
abtr3,
absco,
abab,21661
abau,181988
abbe,21662
aber,21678
abfr3,181989
abgl,
abgr3,21679
abhi,21660
abhu,21663
abhy,21664
abin,21665
abin3,21682
abma3,21666
abma8,
abme3,
abme2,21680
abmo2,181990
abpa,21667
abpa2,21668
abpa3,21669
abpe,21670
abre,21671
absa2,21681
abth,21674
abth2,21675
abtr,181987
abwr,21677
abuti,21659
acab2,
acabc2,
acac7,
acac8,
acac9,
acac10,
acad,
acal16,
acam9,507468
acan4,182095
acan10,507819
acan,26418
acanc,182069
acanh,182070
acans,182071
acans2,182072
acant4,182073
acar12,
acau,182096
acba,26419
acbe6,
acbe,26420
acbi5,
acbo4,
acbr3,
acbu3,
acca23,
acca24,
acca25,
acca27,
acca21,506363
acca35,
acch7,
acch,26421
acci6,
acco15,
acco16,
acco24,
acco,182097
acco17,
acco2,26422
accoc,183629
accop9,183630
acco18,
acco5,26423
accr2,
accu4,
accu5,
accy2,506810
acda5,
acde3,26425
acde11,
acdep2,
acde12,
acde,182078
acdi7,
acdi8,
acdo2,
acdr2,
acdu3,
aceb2,
acel,507438
acer4,
acer5,
aces2,
acex3,
acfa,26427
acfi4,
acfl6,
acga3,
acge8,
acge7,
acgl5,
acgl6,
acgl4,506364
acgo2,
acgr9,
acgr,26428
acgrg3,182074
acgrw,182075
acha4,
ache8,
ache12,
acho2,
acho4,
acho5,
acim4,
acim5,
acir,
acit2,
acix2,
acji,
acjo2,
acka2,
acko,182079
acko2,182080
acla10,
acla6,
acle7,
acli8,507469
acli5,
aclo,26429
aclos3,
aclo8,
acma,26430
acma11,
acma12,
acme80,182081
acme,26431
acme8,
acmed,
acme6,
acmi5,
acmi6,
acmi,26432
acmo9,
acmu6,
acmu7,
acmu,182085
acmy2,
acne4,26433
acne8,
acni8,
acni2,182086
acnia3,
acnik2,
acno5,
acom,
acos2,
acox3,
acpa15,
