number,uri
16162,/tapir/cs/dwc/1.4/model/dw_core_geo_cur.xml
6086,/dwc/
4223,/dwc/DarwinCore_files/default.css
3995,/dwc/DarwinCore_files/TDWGlogo_Twiki.gif
3947,/dwc/DarwinCore_files/default.js
3279,/dwc/terms/index.htm
2892,/dwc/terms/
2603,/dwc/text/tdwg_dwc_text.xsd
1078,/
838,/dwc/index.htm
677,/UBIF/2006/Schema/1.1/UBIF_CoreOntology.xsd
677,/dwc/terms/history/index.htm
478,/dwc/terms/simple/index.htm
401,/UBIF/2006/Schema/1.1/w3c-schemata/xml.xsd
396,/UBIF/2006/Schema/1.1/UBIF_EnumLib.xsd
395,/UBIF/2006/Schema/1.1/UBIF_CoreExtensions.xsd
394,/UBIF/2006/Schema/1.1/SDD_EnumLib.xsd
393,/UBIF/2006/Schema/1.1/UBIF_LinneanCore.xsd
393,/UBIF/2006/Schema/1.1/SDD_TypeLib.xsd
392,/UBIF/2006/Schema/1.1/UBIF_TypeLib.xsd
392,/UBIF/2006/Schema/1.1/UBIF_BasePattern.xsd
367,/dwc/terms/guides/text/index.htm
328,/dwc/terms/guides/rdf/index.htm
324,/dwc/xsd/tdwg_dwc_class_terms.xsd
295,/dwc/terms/guides/xml/
235,/dwc/terms/guides/rdf/images/rdf-graphical-example.png
226,/dwc/terms/guides/text/images/extension.png
214,/dwc/terms/guides/text/images/usage.png
211,/UBIF/2006/Schema/1.1/SDD.xsd
175,/dwc/xsd/tdwg_dwc_simple.xsd
171,/dwc/terms/namespace/index.htm
163,/dwc/xsd/tdwg_dwcterms.xsd
158,/dwc/terms/scientificName
157,/dwc
146,/dwc/terms/guides/xml/index.htm
140,/dwc/terms/simple/
133,/dwc/terms/history/dwctoabcd/index.htm
120,/dwc/xsd/tdwg_basetypes.xsd
93,/dwc/xsd/tdwg_dwc_extensions.xsd
93,/dwc/terms
92,/dwc/terms/history/versions/index.htm
74,/dwc/terms/occurrenceID
64,/dwc/terms/taxonID
61,/dwc/terms/scientificNameAuthorship
61,/dwc/rdf/dwctermshistory.rdf
60,/dwc/terms/history/decisions/index.htm
59,/dwc/terms/genus
56,/dwc/terms/basisOfRecord
53,/abcd/2.06/ABCD_2.06.xsd
52,/dwc/terms/guides/text/
52,/dwc/rdf/dwcterms.rdf
48,/dwc/terms/kingdom
48,/dwc/terms/family
48,/dwc/terms/eventID
47,/dwc/terms/specificEpithet
47,/dwc/terms/datasetName
43,/dwc/terms/decimalLatitude
42,/dwc/terms/taxonRank
42,/dwc/terms/acceptedNameUsageID
41,/dwc/terms/taxonomicStatus
41,/dwc/terms/guides/rdf/
40,/dwc/terms/parentNameUsageID
40,/dwc/DarwinCore_files/
39,/dwc/tdwg_dw_geospatial.xsd
37,/abcd2/terms/gathering-siteimage-license-details
36,/dwc/terms/locality
36,/ac/terms/caption
35,/dwc/xsd/tdwg_dwc_classes.xsd
35,/dwc/terms/Location
35,/dwc/terms/habitat
34,/dwc/terms/Occurrence
34,/dwc/terms/decimalLongitude
34,/dwc/terms/class
33,/dwc/terms/verbatimLatitude
33,/dwc/terms/institutionCode
32,/dwc/terms/recordedBy
32,/dwc/terms/namePublishedIn
32,/dwc/terms/individualCount
31,/dwc/terms/measurementType
30,/dwc/terms/Taxon
30,/dwc/terms/catalogNumber
30,/dwc/tdwg_dw_curatorial.xsd
29,/dwc/terms/vernacularName
29,/dwc/terms/locationID
29,/dwc/terms/infraspecificEpithet
28,/dwc/terms/order
28,/dwc/terms/occurrenceStatus
28,/dwc/terms/maximumElevationInMeters
28,/dwc/terms/country
28,/dwc/terms/coordinateUncertaintyInMeters
26,/dwc/terms/verbatimElevation
26,/dwc/terms/stateProvince
25,/dwc/terms/verbatimDepth
25,/dwc/terms/recordNumber
25,/dwc/terms/phylum
25,/dwc/tdwg_dw_core.xsd
24,/dwc/terms/originalNameUsage
24,/dwc/terms/namePublishedInYear
24,/dwc/terms/minimumElevationInMeters
