title,metadataStatus,ingestStatus,status,project,sqlVolume,libServerDirectory,primaryIslandoraLocation,secondaryIslandoraLocation,pid,essss,images,ingestDate,latestMetadataUpdate,modified,lastModifiedBadFormat,notes
"Livro de Batismos e Casamentos Mistos, 1650-1803",Metadata uploaded,Ingested,Metadata being generated,NEH,242,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 004.1,ESSSS/Brazil/Rio de Janeiro/Cachoeiras de Macacu/Igreja da Santíssima Trindade de Papucaia,,essss:38963,38963,121,09/20/17,,2017-09-20T00:00:00Z,09/20/17,pdf in n_o
"Livro de batismos de livres, 1774-1787",Metadata uploaded,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Campos\Campos 001,ESSSS/Brazil/Rio de Janeiro/Campos dos Goytacazes/São Gonçalo-Goitacazes,,essss:38558,38558,330,09/18/17,9/17/17,2017-09-17T00:00:00Z,9/17/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de Óbitos de Escravos e Livres, 1770",Metadata uploaded,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Campos\Campos 003.1,ESSSS/Brazil/Rio de Janeiro/Campos dos Goytacazes/São Gonçalo-Goitacazes,,essss:3018,3018,3,08/17/17,10/4/17,2017-10-04T00:00:00Z,10/4/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o; what church is this actually from?"
"Livro de Testamentos, 1733-1740",Metadata uploaded,Ingested,Ingested with passable metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 004.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:73372,73372,66,10/25/17,,2017-10-25T00:00:00Z,10/25/17,
"[Livro de assentos de bautismos, inventários das coizas da fábrica, e assentos dos defuntos, 1697-1729]",Metadata uploaded,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Guapimirim\Guapimirim 001.1,ESSSS/Brazil/Rio de Janeiro/Guapirim/Igreja de Nossa Senhora d'Ajuda de Guapimirim,,essss:2819,2819,95,08/17/17,4/22/18,2018-04-22T00:00:00Z,4/22/18,
"[Livro de assentos de contos de receita e despesa, casamentos, e capítulos de visita, 1727-1743]",Metadata uploaded,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Guapimirim\Guapimirim 002.1,ESSSS/Brazil/Rio de Janeiro/Guapirim/Igreja de Nossa Senhora d'Ajuda de Guapimirim,,essss:2604,2604,135,08/17/17,8/23/17,2017-08-23T00:00:00Z,8/23/17,
"Livro de Casamentos de Escravos, 1749-1762",Metadata uploaded,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Guapimirim\Guapimirim 004.1,ESSSS/Brazil/Rio de Janeiro/Guapirim/Igreja de Nossa Senhora d'Ajuda de Guapimirim,,essss:2710,2710,23,08/17/17,8/23/17,2017-08-23T00:00:00Z,8/23/17,
"Livro de Testamentos e Óbitos de Livres, 1749-1771",Metadata uploaded,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Guapimirim\Guapimirim 005.1,ESSSS/Brazil/Rio de Janeiro/Guapirim/Igreja de Nossa Senhora d'Ajuda de Guapimirim,,essss:2779,2779,45,08/17/17,8/23/17,2017-08-23T00:00:00Z,8/23/17,
"[Óbitos de escravos, 1744-07-10 a 1744-11-26]: Freguesia de Nossa Senhora da Ajuda de Guapimirim",Metadata uploaded,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Guapimirim\Guapimirim 006.1,ESSSS/Brazil/Rio de Janeiro/Guapirim/Igreja de Nossa Senhora d'Ajuda de Guapimirim,,essss:2839,2839,3,08/17/17,8/23/17,2017-08-23T00:00:00Z,8/23/17,
"Livro de Óbitos de Livres e Escravos, 1703-1706",Metadata uploaded,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Guaratiba\Guaratiba 001.1,ESSSS/Brazil/Rio de Janeiro/Rio de Janeiro/São Salvador do Mundo,,essss:3061,3061,5,08/18/17,10/4/17,2017-10-04T00:00:00Z,10/4/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
