dsw_identified|identifiedBy|dwc_dateIdentified|dwc_identificationRemarks|tsnID|nameAccordingToID|dcterms_modified|suppress
http://bioimages.vanderbilt.edu/mtsu/32|phoebusp|2016-03-13||24764|wofford2002|2016-03-21T20:05:40-05:00|
http://bioimages.vanderbilt.edu/mtsu/5|phoebusp|2016-03-13||18074|wofford2002|2016-03-21T20:11:26-05:00|
http://bioimages.vanderbilt.edu/mtsu/18|phoebusp|2016-03-13||183385|wofford2002|2016-03-21T20:41:58-05:00|
http://bioimages.vanderbilt.edu/mtsu/34|phoebusp|2016-03-13||18048|wofford2002|2016-03-21T20:44:53-05:00|
http://bioimages.vanderbilt.edu/mtsu/10|phoebusp|2016-03-13||18070|wofford2002|2016-03-21T20:50:35-05:00|
http://bioimages.vanderbilt.edu/mtsu/9|phoebusp|2016-03-13||27982|wofford2002|2016-03-21T23:47:17-05:00|
http://bioimages.vanderbilt.edu/mtsu/31|phoebusp|2016-03-13||25782|wofford2002|2016-03-21T20:56:27-05:00|
http://bioimages.vanderbilt.edu/mtsu/14|phoebusp|2016-03-23||19020|tnflora2014|2016-03-23T02:22:25-05:00|
http://bioimages.vanderbilt.edu/mtsu/4|phoebusp|2016-03-23||19281|tnflora2014|2016-03-23T02:23:47-05:00|
http://bioimages.vanderbilt.edu/mtsu/8|phoebusp|2016-03-23||19282|tnflora2014|2016-03-23T02:24:23-05:00|
http://bioimages.vanderbilt.edu/mtsu/23|phoebusp|2016-03-13||502851|tnflora2014|2016-03-23T02:25:24-05:00|
http://bioimages.vanderbilt.edu/mtsu/21|phoebusp|2016-03-13||19462|tnflora2014|2016-03-23T02:27:09-05:00|
http://bioimages.vanderbilt.edu/mtsu/19|phoebusp|2016-03-13||19287|tnflora2014|2016-03-23T02:28:43-05:00|
http://bioimages.vanderbilt.edu/mtsu/17|phoebusp|2016-03-13||25110|tnflora2014|2016-03-23T02:29:35-05:00|
http://bioimages.vanderbilt.edu/mtsu/33|phoebusp|2016-03-13||19254|tnflora2014|2016-03-23T02:30:55-05:00|
http://bioimages.vanderbilt.edu/mtsu/30|phoebusp|2016-03-13||23855|tnflora2014|2016-03-23T02:31:52-05:00|
http://bioimages.vanderbilt.edu/mtsu/16|phoebusp|2016-03-13||19243|tnflora2014|2016-03-23T14:56:37-05:00|
http://bioimages.vanderbilt.edu/mtsu/22|phoebusp|2016-03-13||19290|tnflora2014|2016-03-23T14:57:51-05:00|
http://bioimages.vanderbilt.edu/mtsu/15|phoebusp|2016-03-13||34315|tnflora2014|2016-03-23T14:59:59-05:00|
http://bioimages.vanderbilt.edu/mtsu/11|phoebusp|2016-03-13||21536|tnflora2014|2016-03-23T15:01:58-05:00|
http://bioimages.vanderbilt.edu/mtsu/35|phoebusp|2016-03-13||18086|tnflora2014|2016-03-23T15:07:21-05:00|
http://bioimages.vanderbilt.edu/mtsu/25|phoebusp|2016-03-13||18158|tnflora2014|2016-03-23T15:09:08-05:00|
http://bioimages.vanderbilt.edu/mtsu/3|phoebusp|2016-03-13||32931|tnflora2014|2016-03-23T15:10:07-05:00|
http://bioimages.vanderbilt.edu/mtsu/20|phoebusp|2016-03-13||19042|tnflora2014|2016-03-23T15:11:09-05:00|
