seconds,alt,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
0.382813,175.426,0.404387,9.66222,-1.24188,0.35861,1.40716,-0.0484036
0.442383,175.32,0.827917,7.21915,-0.638884,0.406257,0.645416,-0.00686479
0.5,175.204,0.574277,12.0383,0.129212,-0.0531131,-1.16091,-0.0942185
0.557617,175.531,0.550349,7.29811,0.842274,-0.0549457,-1.42358,-0.014806
0.615234,175.13,-0.667598,2.42632,-1.29452,0.155192,-0.529888,-0.369719
0.672852,175.553,1.52184,9.26501,-2.16072,-0.212549,-0.181695,-0.0251908
0.827148,175.669,-0.918844,3.40499,-5.15414,0.177183,-1.06928,0.107367
0.958008,175.51,-2.534,6.74776,0.114856,-0.144132,-1.63128,0.308342
1.0166,175.32,7.36272,7.07318,-1.51466,-0.109313,-0.802334,-0.2506
1.07422,174.908,-14.7111,12.2752,-1.38305,-0.189336,1.65273,0.0927062
1.13184,175.109,0.856631,10.9783,0.287139,-0.19239,0.0150032,0.0560543
1.18945,174.834,-0.138784,10.3537,-0.933201,-0.0830455,0.291114,-0.023969
1.24707,174.971,0.394816,5.81217,-1.06481,0.157025,0.484148,-0.0636752
1.30469,175.024,-0.559921,11.1482,1.32323,0.11121,0.230028,-0.014806
1.53418,174.612,1.26341,14.7087,4.36212,0.0922728,0.223919,-0.13026
1.59277,175.637,0.337388,8.99223,0.00717847,0.0250777,0.165887,0.00657424
1.65039,174.464,-0.189033,13.4955,-0.289532,0.0476797,-0.758352,-0.0887207
1.70801,174.718,-0.155533,13.6582,-3.49591,-0.0720499,0.710778,0.175173
1.76563,174.527,1.02413,6.87937,-1.45962,0.0379058,-0.0741831,0.00107646
1.82324,174.866,-5.94617,7.00858,2.93121,0.205283,-4.7418,-0.218835
1.88086,175.278,-1.28495,10.8036,0.524028,0.0238559,-0.150541,0.0487239
2.00977,175.077,-1.64626,9.74836,-1.58166,0.0336298,-0.565929,0.168453
2.06934,175.088,1.81855,8.04945,0.480958,0.0201907,0.0736462,0.0762129
2.19043,175.901,1.44766,9.80579,0.61017,-0.00607647,0.0736462,-0.01053
2.24902,175.426,-1.18445,9.81775,1.03849,0.0238559,-0.578147,-0.0215255
2.30664,175.933,1.1988,9.63111,0.559921,0.00675172,0.879988,-0.0117517
2.36426,175.563,-0.0215354,9.45644,0.449851,-0.00668733,0.00400764,-0.0569557
2.42188,175.764,-0.454636,10.0977,0.174676,-0.0103525,1.71443,0.167843
2.64844,175.711,-0.705883,9.59761,-0.428315,-0.301735,0.325323,-0.0844447
2.70703,175.479,-1.71087,9.58326,0.851845,-0.240038,-0.456584,-0.0264125
2.76465,176.134,0.538385,9.92782,3.6993,-0.667643,-0.824936,0.112254
2.82227,175.521,0.722633,9.24348,-0.746561,0.199785,0.178715,0.112254
2.88086,176.229,0.198604,10.3944,-2.23729,0.166798,0.110298,0.108589
2.93848,176.155,2.35215,9.58804,1.83769,0.376325,0.482926,-0.122929
2.99609,176.071,0.0478565,8.87259,0.892523,-0.00118953,0.957568,-0.20112
3.05469,176.43,0.11007,8.9348,-0.117248,-0.105647,0.0650941,0.0267328
3.18359,176.292,-1.71805,9.81775,-0.193819,-0.0543348,0.029664,-0.0398515
3.24219,176.832,-0.760918,9.734,0.526421,-0.0134069,-0.435204,0.0994257
3.30078,176.208,1.05523,9.80339,-0.399601,-0.0598326,0.186045,0.0432261
3.3584,173.703,1.93579,9.69811,-0.425922,0.158857,0.0168358,0.0420044
3.4873,169.349,2.71585,8.57827,0.263211,0.0653948,0.666185,0.13791
3.54492,176.969,-0.31346,11.1601,0.677169,0.0751686,0.34426,-0.168744
3.60254,176.071,4.35015,9.90868,1.02652,0.0421819,-0.0497485,0.0823215
3.83691,175.553,-0.0933201,9.75554,-0.634098,0.0941055,0.0553203,0.0114612
3.89551,176.219,-0.167498,9.80339,-0.650848,0.0629513,0.0418813,0.0151263
3.9541,176.24,0.200997,9.77707,-0.284746,0.0317971,-0.0399747,0.021235
4.01172,175.764,0.42353,9.77229,-0.229711,0.0195799,-0.0259247,0.0322306
4.06934,176.102,0.148355,9.76032,-0.758525,-0.0146286,-0.0888439,0.0615521
4.12695,176.081,1.07916,9.74357,0.308674,-0.0231807,0.0767006,0.0224567
4.18457,175.722,0.215354,9.68615,-0.555135,-0.0402849,-0.0436398,0.0249002
4.31641,176.62,0.495314,9.64308,0.308674,0.0226342,0.0455464,-0.0319103
4.375,176.462,-0.167498,9.60718,-0.136391,-0.0121851,0.0137815,-0.00808653
4.43359,176.335,0.839881,9.74118,-0.0215354,-0.00607647,0.0534877,0.0139046
4.49121,176.578,1.07438,9.72204,0.136391,-0.0378415,-0.0436398,-0.00625393
4.54883,176.62,0.399601,9.76032,0.0765703,-0.0140177,-0.0558572,-0.0306885
4.60645,176.345,-0.00239282,9.76272,-0.0741775,0.00491911,0.0944157,-0.0245799
4.66406,176.451,0.734597,9.75793,0.066999,-0.00485472,0.0553203,-0.0160278
4.9707,176.345,0.179462,9.72922,-0.0789632,-0.0384523,-0.0454724,-0.06001
5.0293,176.187,0.512064,9.75076,0.251246,-0.0378415,0.0351617,-0.0587883
5.08594,175.912,0.267996,9.73879,0.0358923,-0.0250133,0.0223336,-0.0630644
5.14355,175.648,0.244068,9.75076,0.689133,-0.012796,0.164054,-0.0532906
5.20215,174.982,0.0646062,9.74118,-0.217747,-0.00974166,-0.0002684,-0.0862772
5.25879,175.701,-0.0478565,9.72683,0.459422,0.00797343,0.156724,-0.0740599
5.31641,175.954,-0.0167498,9.75793,0.184247,0.0183581,-0.0344768,-0.0740599
5.44922,175.553,0.208176,9.81057,0.200997,0.028132,0.0693702,-0.0386298
5.50781,175.183,0.397209,9.72683,-0.0119641,0.00980601,0.0864744,-0.0288559
5.56445,175.204,0.275175,9.76751,0.39003,0.032408,0.03394,-0.0514579
5.62207,175.606,-0.131605,9.73879,-0.356531,0.0275211,0.0858636,-0.0312994
5.67969,175.436,0.208176,9.76511,-0.114856,-0.00851992,0.00278592,-0.01053
5.7373,175.669,0.112463,9.70768,0.260818,0.00369738,0.0363835,-0.0270233
5.79492,176.018,0.0287139,9.7364,-0.0502493,-0.00118953,-0.0277573,-0.0160278
6.02539,175.722,0.179462,9.72443,0.153141,-0.0176829,0.0168358,-0.000145286
6.08398,175.531,0.155533,9.72443,0.689133,-0.00241128,0.084031,0.00107646
6.1416,175.986,-0.129212,9.734,0.267996,0.0256885,0.0846418,0.0401718
6.2959,175.542,-0.0550349,9.83929,0.162712,0.0537883,0.0400487,0.0316197
6.35352,175.32,0.0311067,9.74836,0.129212,0.0226342,-0.00820971,0.0395609
6.41113,175.066,0.227318,9.71247,0.0167498,0.0195799,-0.0674636,0.0218459
6.53613,174.919,0.705883,9.74597,0.0837488,0.0794447,0.0253879,0.0187915
6.59473,175.204,1.03609,9.7699,-0.473779,0.0379058,0.0864744,0.0157372
6.65332,174.876,0.535992,9.7364,0.497707,0.0348515,0.0314965,-0.0123626
6.71094,174.919,0.0717847,9.75793,-0.0502493,0.059897,0.020501,-0.0141952
6.76855,175.045,0.112463,9.79382,-0.727418,0.0342406,0.0345509,0.0395609
6.82617,174.961,1.17727,9.67418,0.59342,0.0311863,-0.0558572,0.000465602
6.88379,175.014,0.595813,9.72204,0.145962,0.028132,0.0571529,-0.0215255
6.94141,174.929,0.299103,9.73879,-0.102891,-0.00485472,0.0302748,-0.0306885
7.16309,175.531,-0.818345,9.86322,-0.775275,-0.0390632,0.310662,0.00657424
7.22852,175.447,0.89013,9.76751,-0.318246,-0.0879324,-0.0283682,-0.0361863
7.28613,175.521,-0.358923,9.65743,-0.234497,-0.0347871,-0.18475,-0.0484036
7.34375,175.436,0.547956,9.53061,-0.0454636,-0.00363301,-1.48467,-0.0111408
7.40137,174.982,-0.0550349,9.81057,0.806381,0.0110278,0.0290531,-0.0343537
7.45898,175.288,1.15573,9.49712,0.215354,0.0122495,0.476817,-0.078336
