term_localName,skos_broader_method,skos_broader_extent,skos_inScheme,type,General Target Category,Method Approach,General Method (survey mode),label,controlled_value_string,Effort Type,taxonomicScope,temporalScope,geographicScope,habitatScope,samplingTarget,methodObjective,definition,Citation,Publication
e,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,,,extent concept scheme,,,,,,,,,,,
m,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,,,methodology concept scheme,,,,,,,,,,,
s,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,,,survey concept scheme,,,,,,,,,,,
e001,,,e,http://www.w3.org/2004/02/skos/core#Concept,,,,fixed time,fixedTime,,,,,,,,,,
e002,,,e,http://www.w3.org/2004/02/skos/core#Concept,,,,fixed space,fixedSpace,,,,,,,,,,
e003,e002,,e,http://www.w3.org/2004/02/skos/core#Concept,,,,area,area,,,,,,,,,,
e004,e002,,e,http://www.w3.org/2004/02/skos/core#Concept,,,,transect,transect,,,,,,,,,,
m001,,,m,http://www.w3.org/2004/02/skos/core#Concept,,,,capture,capture,,,,,,,,,,
m002,,,m,http://www.w3.org/2004/02/skos/core#Concept,,,,sensor,sensor,,,,,,,,,,
m003,,,m,http://www.w3.org/2004/02/skos/core#Concept,,,,search,search,,,,,,,,,,
m004,m001,,m,http://www.w3.org/2004/02/skos/core#Concept,,,,active capture,activeCapture,,,,,,,,,,
m005,m001,,m,http://www.w3.org/2004/02/skos/core#Concept,,,,passive capture,passiveCapture,,,,,,,,,,
m006,m002,,m,http://www.w3.org/2004/02/skos/core#Concept,,,,fixed sensor,fixedSensor,,,,,,,,,,
m007,m002,,m,http://www.w3.org/2004/02/skos/core#Concept,,,,mobile sensor,mobileSensor,,,,,,,,,,
m008,m003,,m,http://www.w3.org/2004/02/skos/core#Concept,,,,passive search,passiveSearch,,,,,,,,,,
m009,m003,,m,http://www.w3.org/2004/02/skos/core#Concept,,,,active search,activeSearch,,,,,,,,,,
s002,m006,e003,s,http://www.w3.org/2004/02/skos/core#Concept,Fauna survey,Fixed sensor,Passive echolocation recorder,ANABAT,anabat,Area,Animalia,Duration,Area,Terrestrial or Marine,"Large bat species, micro-bat species","species presence, species behaviour","A set of methods using ANABAT echolocation recording devices for measuring the presence of bat species within a given area. The specifics of recording medium, type of detector, frequency range, configuration, placement, orientation, azmuth/depth, deployment period, etc. are detailed in specific and general methods under this category.",,
s003,m006,,s,http://www.w3.org/2004/02/skos/core#Concept,Fauna survey,Fixed sensor,Passive acoustic recorder,Passive acoustic monitoring,passiveAcousticMonitoring,Area,Animalia,Duration,,Terrestrial or Limnetic,"Birds, reptiles, amphibians, vocal mammals","species presence, species behaviour","A set of methods using locationally fixed acoustic recording devices for measuring the presence of vocal species within a given area. The specifics of recording medium, type of detector, amplification and gain measures, frequency range, configuration, placement, orientation, directionality, deployment period, etc. are detailed in specific and general methods under this category.",,
s004,m007,,s,http://www.w3.org/2004/02/skos/core#Concept,Fauna survey,Mobile sensor,Active acoustic recorder,Active acoustic recorder named thing,activeAcousticRecorder,Transect/Area,Animalia,Duration,,Terrestrial or Limnetic,"Birds, reptiles, amphibians, vocal mammals","species presence, species behaviour","A set of methods using portable acoustic recording devices for measuring the presence of vocal species within a given area. The specifics of recording medium, type of detector, amplification and gain measures, frequency range, configuration, placement, orientation, directionality, deployment period, etc. are detailed in specific and general methods under this category.",,
s005,m006,e003,s,http://www.w3.org/2004/02/skos/core#Concept,Fauna survey,Fixed sensor,Passive visual recorder,Camera trap,cameraTrap,Area/Duration,Animalia,Duration,Area,Terrestrial,,"species presence, species behaviour","A set of methods for recording mobile organisms or other entities involving locationally fixed passive recording sensors spanning the infra-red, visible and ultra-violet spectral range. These methods enable temporal and geotagging of mobile targets such that they can be identified as a presence observation in space and time. Specific varibales such as camera type, trigger mechanism, baits used, spectral range, mounting arrangement, etc. are detailed under specific and general methods under this category.","Forrester, Tavis & O'Brien, Timothy & Fegraus, Eric & Jansen, Patrick & Palmer, Jonathan & Kays, Roland & Ahumada, Jorge & Stern, Beth & McShea, William. (2016). An Open Standard for Camera Trap Data. Biodiversity Data Journal. 4. e10197. 10.3897/BDJ.4.e10197. ",https://www.researchgate.net/publication/311478659_An_Open_Standard_for_Camera_Trap_Data
s006,m007,,s,http://www.w3.org/2004/02/skos/core#Concept,Fauna survey,Mobile sensor,,mobile sensor named thing,mobileSensorThing,,Animalia,,,Terrestrial or Marine,"Ceataceans, megafauna, turtles, reptiles, fish, some insects","species movement, species behaviour","A set of methods for animal tracking involving transmitting sensors mounted on mobile organisms or other entities, which enable temporal and geotagging of mobile hosts such that their movements can be tracked in space and time. Receiving sensors may be locationally fixed or portable.",,
s007,m005,,s,http://www.w3.org/2004/02/skos/core#Concept,Bat survey,Fixed-area,Passive capture & release,Harp trapping,harpTrap,,Animalia,,,Terrestrial,Micro-bat species,,"A non-destructive trapping technique for intercepting in-flight micro-bats to survey for bat species presence. The specifics of configuration, trap size, placement, deployment period, etc. are detailed in specific and general methods under this category.",,
s008,m009,e004,s,http://www.w3.org/2004/02/skos/core#Concept,Fauna survey,Fixed-area,Active observational search,Distance sampling,distanceSampling,Transect,Animalia,Duration,Transect,Terrestrial,"Birds, Large mobile fauna","Species presence, species abundance, species density, species behaviour","A set of methods for estimating the density and/or abundance of animal populations. Collected data represents the distances of the objects being surveyed from randomly set transects or points to estimate the average density of objects within a region. The specifics of transect/point configuration and frequency, survey duration, etc. are detailed in specific and general methods under this category.",,
s009,m009,e004,s,http://www.w3.org/2004/02/skos/core#Concept,Fauna survey,Fixed-area,Active observational search,Aerial distance sampler method,aerialDistance,Transect,Animalia,Duration,Transect,Terrestrial,Large mobile fauna,,A variant of the standard distance sample method in which observations are conducted from an airborne platform rather than a terrestrial based platform.,,
s010,m009,e001,s,http://www.w3.org/2004/02/skos/core#Concept,Fauna survey,Fixed-time,Active observational search,Time constrained collecting,timeConstrained,,Animalia,,Area,,"Birds, reptiles, amphibians",,,,
s013,m008,,s,http://www.w3.org/2004/02/skos/core#Concept,Bird survey,,Passive capture & release,Mist netting,mistNet,,Aves,Duration,Area,Terrestrial,"Birds,",,"A non-destructive trapping technique for intercepting in-flight avifauna to survey for bird species presence. The specifics of configuration, trap size, placement, deployment period, etc. are detailed in specific and general methods under this category.",,
s014,m009,e003,s,http://www.w3.org/2004/02/skos/core#Concept,Fauna survey,Fixed-area,Active evidenciary search,Track plot method,trackPlot,,Animalia,,Area,Terrestrial,"Reptiles, large and small mammals, birds, some insects",,"A set of methods for sampling animal presence and abundance via observations of evidence of presence. The specifics of configuration, area covered, duration of sampling effort, etc. are detailed in specific and general methods under this category.",,
s015,m009,e003,s,http://www.w3.org/2004/02/skos/core#Concept,Fauna survey,Fixed-area,Active observational search,active observational search,activeObservation,,Animalia,,Area,,,,,,
s017,m008,,s,http://www.w3.org/2004/02/skos/core#Concept,Fauna survey,Fixed-time & Fixed-area,Passive observational search,Point/stand count,pointCount,Area,Animalia,Duration,Area,,"Birds, large vertebrate fauna, reptiles",,"A method for passively monitoring birds and other vertebrate fauna visiting a localised area around a locationally fixed visual observation station (eg. a hide). Observers wait quitely at a stationary location for a set period of time, identifying and counting species of interest observed entering their observation zone. The specifics of duration and timing of observing events, number of observers, size of observation zone, etc. may vary and be specified in specific surveys.",,
s018,m005,,s,http://www.w3.org/2004/02/skos/core#Concept,Fauna survey,,Passive capture & release,Cage trapping,cageTrap,,Animalia,,,Terrestrial,,,,,
