"version_isDefinedBy",,"term_localName","dwcattributes_decision"
"http://rs.tdwg.org/dwc/dwctype/version/","http://rs.tdwg.org/dwc/dwctype/","FossilSpecimen","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15"
"http://rs.tdwg.org/dwc/dwctype/version/","http://rs.tdwg.org/dwc/dwctype/","HumanObservation","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15"
"http://rs.tdwg.org/dwc/dwctype/version/","http://rs.tdwg.org/dwc/dwctype/","LivingSpecimen","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15"
"http://rs.tdwg.org/dwc/dwctype/version/","http://rs.tdwg.org/dwc/dwctype/","Location","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15"
"http://rs.tdwg.org/dwc/dwctype/version/","http://rs.tdwg.org/dwc/dwctype/","MachineObservation","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15"
"http://rs.tdwg.org/dwc/dwctype/version/","http://rs.tdwg.org/dwc/dwctype/","MaterialSample","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15"
"http://rs.tdwg.org/dwc/dwctype/version/","http://rs.tdwg.org/dwc/dwctype/","NomenclaturalChecklist","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15"
"http://rs.tdwg.org/dwc/dwctype/version/","http://rs.tdwg.org/dwc/dwctype/","Occurrence","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15"
"http://rs.tdwg.org/dwc/dwctype/version/","http://rs.tdwg.org/dwc/dwctype/","PreservedSpecimen","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15"
"http://rs.tdwg.org/dwc/dwctype/version/","http://rs.tdwg.org/dwc/dwctype/","Taxon","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15"
"http://rs.tdwg.org/dwc/terms/version/","http://rs.tdwg.org/dwc/terms/","associatedMedia","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16"
"http://rs.tdwg.org/dwc/terms/version/","http://rs.tdwg.org/dwc/terms/","associatedOccurrences","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16"
"http://rs.tdwg.org/dwc/terms/version/","http://rs.tdwg.org/dwc/terms/","associatedOrganisms","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_14"
"http://rs.tdwg.org/dwc/terms/version/","http://rs.tdwg.org/dwc/terms/","associatedReferences","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16"
"http://rs.tdwg.org/dwc/terms/version/","http://rs.tdwg.org/dwc/terms/","associatedTaxa","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16"
"http://rs.tdwg.org/dwc/terms/version/","http://rs.tdwg.org/dwc/terms/","basisOfRecord","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2009-12-07_2"
