rdf_type,replacing_term,replacing_term_localName,replacing_term_namespace,replaced_term,replaced_term_namespace,replaced_term_localName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/acceptedNameUsage,acceptedNameUsage,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/acceptedScientificName,http://rs.tdwg.org/dwc/terms/,acceptedScientificName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/acceptedNameUsageID,acceptedNameUsageID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/acceptedTaxonID,http://rs.tdwg.org/dwc/terms/,acceptedTaxonID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/acceptedScientificName,acceptedScientificName,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/acceptedTaxonName,http://rs.tdwg.org/dwc/terms/,acceptedTaxonName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/acceptedScientificNameID,acceptedScientificNameID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID,http://rs.tdwg.org/dwc/terms/,acceptedTaxonNameID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/acceptedTaxonID,acceptedTaxonID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/acceptedScientificNameID,http://rs.tdwg.org/dwc/terms/,acceptedScientificNameID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/acceptedTaxonName,acceptedTaxonName,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/AcceptedTaxon,http://rs.tdwg.org/dwc/terms/,AcceptedTaxon
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID,acceptedTaxonNameID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/AcceptedTaxonID,http://rs.tdwg.org/dwc/terms/,AcceptedTaxonID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/associatedMedia,associatedMedia,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/ImageURL,http://rs.tdwg.org/dwc/dwcore/,ImageURL
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/associatedOccurrences,associatedOccurrences,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/curatorial/RelatedCatalogedItems,http://rs.tdwg.org/dwc/curatorial/,RelatedCatalogedItems
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/associatedSequences,associatedSequences,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/curatorial/GenBankNumber,http://rs.tdwg.org/dwc/curatorial/,GenBankNumber
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/basisOfRecord,basisOfRecord,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/dwcore/BasisOfRecord,http://rs.tdwg.org/dwc/dwcore/,BasisOfRecord
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/bed,bed,http://rs.tdwg.org/dwc/terms/,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/Bed,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/,Bed
