wikidata_id,orgid,organization,code,division,department,email
,124564,"Forest Service, USDA",POFS,Division of Range Management,,
,125776,Research Institute of Plant Protection,TBIP,,Agriculture and Life Sciences,
,257635,Universidad Nacional Pedro Henríquez Ureña,HUNPHU,Facultad de Ciencias y Tecnología,Herbario,ccruz@unphu.edu.do
,126115,Tanta University,TANE,Faculty of Science,Botany Department,
,126332,Universidade do Rio Grande (FURG),HURG,,Instituto de Ciências Biológicas,soniahefler@furg.br
,125120,La Sierra University,LOMA,,Biology Department,bmartin@lasierra.edu
,246354,Finger Lakes Community College,FLH,,,Bruce.Gilman@flcc.edu
,123883,Azerbaijan National Academy of Sciences (ANAS),BAK,Institute of Botany,,p.garakhani@mail.ru
,126881,University of Victoria,UVIC,,Biology Department,
,174257,"Jasper Ridge Biological Preserve, Stanford University",JROH,,,"nonajrbp@stanford.edu
alambrec@stanford.edu"
,126093,Sung Kyun Kwan University,SKK,,Biological  Sciences Department,sonchus2009@gmail.com
,168161,"University of Arizona South, Agricultural Extension Service",CCH,,,
,124740,Research Centre for Biology,BO,Botany Division,,herbogor@indo.net.id
,124879,Instituto Agronômico,BHMG,,,
,126350,Universidade Federal de Minas Gerais,BHMH,Museu de História Natural,,
,124983,Jardim-Museu Agrícola Tropical,LISJC,Instituto de Investigação Científica Tropical,,
,124561,"Forest Service Region 4, USDA Forest Service Service",OGDF,Vegetation Management,,
,124330,c/o North Queensland Naturalists' Club,CAIRNS,,,
,126798,University of Queensland,BRIU,,Botany Department,
,124396,Environmental Protection Agency,MBA,,,
,124361,CSIRO,QRS,Division of Plant Industry,,
,124142,Bundesamt für Naturschutz,BNL,,,gerhard.ludwig@bfn.de
,126034,Springfield Science Museum,SPR,,Natural Science Department,dstier@springfieldmuseums.org
,125213,The Manitoba Museum,MMMN,,Botany Department,
,124563,"Forest Service, USDA",FSSR,,Biological and Physical Resources Unit,
,123900,Agnes Scott College,DECA,,Biology Department,
,125380,Muséum National d'Histoire Naturelle,PC,Dépt. Systématique et Évolution,,herbierPC@mnhn.fr
,176902,Herbarium Carautanum,CARAN,,,
