qid,id,name,orcid,viaf,huh,other,affiliation
Q100599637,http://www.wikidata.org/entity/Q100599637,Douglas Boyer,,,,,Q168751
Q107566260,http://viaf.org/viaf/69002167,Noel H. Holmgren,,69002167,,,
Q109341616,https://orcid.org/0000-0002-4737-745X,Günter Waibel,0000-0002-4737-745X,,,,
Q110140814,http://www.wikidata.org/entity/Q110140814,Jörg Holetschek,,,,http://www.bgbm.org/de/personal/joerg-holetschek,Q163255
Q11255062,http://viaf.org/viaf/112328349,Peter Wyse Jackson,,112328349,,,Q1339511
Q2024617,http://viaf.org/viaf/80432287,Laurence J. Dorr,,80432287,,,
Q21339849,http://viaf.org/viaf/69104243,Kerry Walter,,69104243,,,Q1807521
Q21340328,http://viaf.org/viaf/92780116,Barry Conn,,92780116,,,Q1339511
Q21340328,https://orcid.org/0000-0001-9832-3809,Barry J. Conn,0000-0001-9832-3809,,,,
Q21340682,https://orcid.org/0000-0003-0768-1286,Richard Pyle,0000-0003-0768-1286,,,,Q826520
Q21505095,http://viaf.org/viaf/64067143,Robert Allkin,,64067143,,,
Q21506569,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/1f870a85-7a31-473e-ad76-fcce00469c83,Neil A. Brummitt,,,110736,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/1f870a85-7a31-473e-ad76-fcce00469c83,
Q21518222,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/21e8d5c7-464f-41c3-9e9c-1ce09b0d4f1f,Wolf-Henning Kusber,,,89273,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/21e8d5c7-464f-41c3-9e9c-1ce09b0d4f1f,Q163255
Q21520430,http://viaf.org/viaf/11457657,Erik A. Mennega,,11457657,,,
Q21522600,https://orcid.org/0000-0002-6321-9398,Francisco Pando,0000-0002-6321-9398,,,,
Q25802817,https://orcid.org/0000-0002-8442-8025,Peter Desmet,0000-0002-8442-8025,,,,Q7315097
Q27044084,http://viaf.org/viaf/49306391,C. Emma Powell,,49306391,,,
Q28913570,https://orcid.org/0000-0002-3425-6499,Vishwas Chavan,0000-0002-3425-6499,,,,Q1531570
Q28913574,https://orcid.org/0000-0001-7023-7386,Gregor Hagedorn,0000-0001-7023-7386,,,,Q832099
Q28913578,http://www.wikidata.org/entity/Q28913578,Éamonn Ó Tuama,,,,,Q1531570
Q28913581,https://orcid.org/0000-0002-4325-4030,Anton Güntsch,0000-0002-4325-4030,,,,Q163255
Q28913648,https://orcid.org/0000-0001-6492-4016,Donald Hobern,0000-0001-6492-4016,,,,Q1531570
Q28913658,https://orcid.org/0000-0002-0596-5376,Quentin Groom,0000-0002-0596-5376,,,,Q3052500
Q28913664,https://orcid.org/0000-0001-8900-6203,Lee Belbin,0000-0001-8900-6203,,,,Q4914768
Q30513172,https://orcid.org/0000-0002-5887-9543,Edward Baker,0000-0002-5887-9543,,,,Q309388
Q33701006,http://viaf.org/viaf/77423299,Holger Zetzsche,,77423299,,,Q163255
Q348006,http://viaf.org/viaf/19771885,Armen Leonovich Takhtajan,,19771885,,,
Q362245,http://viaf.org/viaf/61620062,Arthur Cronquist,,61620062,,,
Q372403,http://viaf.org/viaf/41921927,Richard K. Brummitt,,41921927,,,
Q40670042,https://orcid.org/0000-0003-4365-3135,Steve Baskauf,0000-0003-4365-3135,,,,Q4914768
Q4320802,http://viaf.org/viaf/84746223,Dan H. Nicolson,,84746223,,,
Q45342779,https://orcid.org/0000-0003-1031-3249,Campbell Webb,0000-0003-1031-3249,,,,Q4914768
Q47502209,https://orcid.org/0000-0002-2352-5497,Dag Endresen,0000-0002-2352-5497,,,,Q1531570
Q47502211,https://orcid.org/0000-0003-0632-7576,Mark Schildhauer ,0000-0003-0632-7576,,,,Q6971323
Q48975647,https://orcid.org/0000-0002-5905-1617,John Deck ,0000-0002-5905-1617,,,,
Q51883873,http://www.wikidata.org/entity/Q51883873,José Cuadra,,,,,
Q51883936,http://www.wikidata.org/entity/Q51883936,Kevin Richards,,,,,Q1801980
Q51883958,http://www.wikidata.org/entity/Q51883958,Ricardo Scachetti-Pereira,,,,,Q4914768
Q51883962,http://www.wikidata.org/entity/Q51883962,Javier de la Torre,,,,,Q163255
Q51883977,http://www.wikidata.org/entity/Q51883977,Piers Higgs,,,,,
Q51883987,http://www.wikidata.org/entity/Q51883987,Charles Copp,,,,,
Q51883993,http://www.wikidata.org/entity/Q51883993,Robert Gales,,,,,Q1111807
Q51883997,http://www.wikidata.org/entity/Q51883997,Perry Steven,,,,,Q1111807
Q51885215,http://www.wikidata.org/entity/Q51885215,Christopher Hobson,,,,,Q1339511
Q51892660,http://www.wikidata.org/entity/Q51892660,Chris Ward,,,,,Q1339511
