qid,label_en,author_uuid,author,author_series_ordinal,author_stated_as,author_ref1_hash,author_ref1_referenceUrl,author_ref1_retrieved_nodeId,author_ref1_retrieved_val,author_ref1_retrieved_prec,contributor_iri,contributor_role
,,,,,Steve Baskauf,,http://rs.tdwg.org/sds/doc/specification/,,2022-05-12,,https://orcid.org/0000-0003-4365-3135,lead author
,,,,,Roger Hyam,,http://rs.tdwg.org/sds/doc/specification/,,2022-05-12,,https://orcid.org/0000-0003-4581-1379,author
,,,,,Stanley Blum,,http://rs.tdwg.org/sds/doc/specification/,,2022-05-12,,https://orcid.org/0000-0002-4419-6960,author
,,,,,Robert A. Morris,,http://rs.tdwg.org/sds/doc/specification/,,2022-05-12,,https://orcid.org/0000-0002-6992-9446,author
,,,,,Jonathan Rees,,http://rs.tdwg.org/sds/doc/specification/,,2022-05-12,,https://orcid.org/0000-0001-7694-8250,author
,,,,,Joel Sachs,,http://rs.tdwg.org/sds/doc/specification/,,2022-05-12,,https://orcid.org/0000-0001-8332-2571,author
,,,,,Greg Whitbread,,http://rs.tdwg.org/sds/doc/specification/,,2022-05-12,,https://orcid.org/0000-0002-2954-9027,author
,,,,,John Wieczorek,,http://rs.tdwg.org/sds/doc/specification/,,2022-05-12,,https://orcid.org/0000-0003-1144-0290,author
,,,,,Dag Endresen,,http://rs.tdwg.org/sds/doc/specification/,,2022-05-12,,https://orcid.org/0000-0002-2352-5497,review manager
,,,,,Steve Baskauf,,http://rs.tdwg.org/vms/doc/specification/,,2022-05-12,,https://orcid.org/0000-0003-4365-3135,lead author
,,,,,John Wieczorek,,http://rs.tdwg.org/vms/doc/specification/,,2022-05-12,,https://orcid.org/0000-0003-1144-0290,author
,,,,,Stanley Blum,,http://rs.tdwg.org/vms/doc/specification/,,2022-05-12,,https://orcid.org/0000-0002-4419-6960,author
,,,,,Robert A. Morris,,http://rs.tdwg.org/vms/doc/specification/,,2022-05-12,,https://orcid.org/0000-0002-6992-9446,author
,,,,,Jonathan Rees,,http://rs.tdwg.org/vms/doc/specification/,,2022-05-12,,https://orcid.org/0000-0001-7694-8250,author
,,,,,Joel Sachs,,http://rs.tdwg.org/vms/doc/specification/,,2022-05-12,,https://orcid.org/0000-0001-8332-2571,author
,,,,,Greg Whitbread,,http://rs.tdwg.org/vms/doc/specification/,,2022-05-12,,https://orcid.org/0000-0002-2954-9027,author
,,,,,Dag Endresen,,http://rs.tdwg.org/vms/doc/specification/,,2022-05-12,,https://orcid.org/0000-0002-2352-5497,review manager
,,,,,Robert A. Morris,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0002-6992-9446,lead author
,,,,,Vijay Barve,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0002-4852-2567,author
,,,,,Mihail Carausu,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0002-8234-0599,author
,,,,,Vishwas Chavan,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0002-3425-6499,author
,,,,,José Cuadra,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,http://www.wikidata.org/entity/Q51883873,author
,,,,,Chris Freeland,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0002-2541-5822,author
,,,,,Gregor Hagedorn,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0001-7023-7386,author
,,,,,Patrick Leary,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0001-5172-8577,author
,,,,,Dimitry Mozzherin,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0003-1593-1417,author
,,,,,Annette Olson,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0002-0772-0022,author
,,,,,Greg Riccardi,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0002-3850-9983,author
,,,,,Ivan Teage,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0003-4176-2274,author
,,,,,Steve Baskauf,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0003-4365-3135,author
,,,,,Dan Stowell,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0001-8068-3769,author
,,,,,Edward Baker,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0002-5887-9543,author
,,,,,Richard Pyle,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0003-0768-1286,author
,,,,,Steve Baskauf,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0003-4365-3135,review manager
,,,,,Robert A. Morris,,http://rs.tdwg.org/ac/doc/structure/,,2022-05-12,,https://orcid.org/0000-0002-6992-9446,lead author
,,,,,Vijay Barve,,http://rs.tdwg.org/ac/doc/structure/,,2022-05-12,,https://orcid.org/0000-0002-4852-2567,author
,,,,,Mihail Carausu,,http://rs.tdwg.org/ac/doc/structure/,,2022-05-12,,https://orcid.org/0000-0002-8234-0599,author
,,,,,Vishwas Chavan,,http://rs.tdwg.org/ac/doc/structure/,,2022-05-12,,https://orcid.org/0000-0002-3425-6499,author
,,,,,José Cuadra,,http://rs.tdwg.org/ac/doc/structure/,,2022-05-12,,http://www.wikidata.org/entity/Q51883873,author
,,,,,Chris Freeland,,http://rs.tdwg.org/ac/doc/structure/,,2022-05-12,,https://orcid.org/0000-0002-2541-5822,author
,,,,,Gregor Hagedorn,,http://rs.tdwg.org/ac/doc/structure/,,2022-05-12,,https://orcid.org/0000-0001-7023-7386,author
,,,,,Patrick Leary,,http://rs.tdwg.org/ac/doc/structure/,,2022-05-12,,https://orcid.org/0000-0001-5172-8577,author
,,,,,Dimitry Mozzherin,,http://rs.tdwg.org/ac/doc/structure/,,2022-05-12,,https://orcid.org/0000-0003-1593-1417,author
,,,,,Annette Olson,,http://rs.tdwg.org/ac/doc/structure/,,2022-05-12,,https://orcid.org/0000-0002-0772-0022,author
,,,,,Greg Riccardi,,http://rs.tdwg.org/ac/doc/structure/,,2022-05-12,,https://orcid.org/0000-0002-3850-9983,author
,,,,,Ivan Teage,,http://rs.tdwg.org/ac/doc/structure/,,2022-05-12,,https://orcid.org/0000-0003-4176-2274,author
,,,,,Steve Baskauf,,http://rs.tdwg.org/ac/doc/termlist/,,2022-05-12,,https://orcid.org/0000-0003-4365-3135,author
,,,,,Steve Baskauf,,http://rs.tdwg.org/ac/doc/structure/,,2022-05-12,,https://orcid.org/0000-0003-4365-3135,review manager
,,,,,Robert A. Morris,,http://rs.tdwg.org/ac/doc/introduction/,,2022-05-12,,https://orcid.org/0000-0002-6992-9446,lead author
,,,,,Vijay Barve,,http://rs.tdwg.org/ac/doc/introduction/,,2022-05-12,,https://orcid.org/0000-0002-4852-2567,author
,,,,,Mihail Carausu,,http://rs.tdwg.org/ac/doc/introduction/,,2022-05-12,,https://orcid.org/0000-0002-8234-0599,author
,,,,,Vishwas Chavan,,http://rs.tdwg.org/ac/doc/introduction/,,2022-05-12,,https://orcid.org/0000-0002-3425-6499,author
,,,,,José Cuadra,,http://rs.tdwg.org/ac/doc/introduction/,,2022-05-12,,http://www.wikidata.org/entity/Q51883873,author
,,,,,Chris Freeland,,http://rs.tdwg.org/ac/doc/introduction/,,2022-05-12,,https://orcid.org/0000-0002-2541-5822,author
,,,,,Gregor Hagedorn,,http://rs.tdwg.org/ac/doc/introduction/,,2022-05-12,,https://orcid.org/0000-0001-7023-7386,author
,,,,,Patrick Leary,,http://rs.tdwg.org/ac/doc/introduction/,,2022-05-12,,https://orcid.org/0000-0001-5172-8577,author
,,,,,Dimitry Mozzherin,,http://rs.tdwg.org/ac/doc/introduction/,,2022-05-12,,https://orcid.org/0000-0003-1593-1417,author
,,,,,Annette Olson,,http://rs.tdwg.org/ac/doc/introduction/,,2022-05-12,,https://orcid.org/0000-0002-0772-0022,author
,,,,,Greg Riccardi,,http://rs.tdwg.org/ac/doc/introduction/,,2022-05-12,,https://orcid.org/0000-0002-3850-9983,author
,,,,,Ivan Teage,,http://rs.tdwg.org/ac/doc/introduction/,,2022-05-12,,https://orcid.org/0000-0003-4176-2274,author
,,,,,Steve Baskauf,,http://rs.tdwg.org/ac/doc/introduction/,,2022-05-12,,https://orcid.org/0000-0003-4365-3135,review manager
,,,,,Mihail Carausu,,http://rs.tdwg.org/ac/doc/guide/,,2022-05-12,,https://orcid.org/0000-0002-8234-0599,author
,,,,,Vishwas Chavan,,http://rs.tdwg.org/ac/doc/guide/,,2022-05-12,,https://orcid.org/0000-0002-3425-6499,author
,,,,,Chris Freeland,,http://rs.tdwg.org/ac/doc/guide/,,2022-05-12,,https://orcid.org/0000-0002-2541-5822,author
,,,,,Gregor Hagedorn,,http://rs.tdwg.org/ac/doc/guide/,,2022-05-12,,https://orcid.org/0000-0001-7023-7386,author
,,,,,Robert A. Morris,,http://rs.tdwg.org/ac/doc/guide/,,2022-05-12,,https://orcid.org/0000-0002-6992-9446,lead author
,,,,,Dimitry Mozzherin,,http://rs.tdwg.org/ac/doc/guide/,,2022-05-12,,https://orcid.org/0000-0003-1593-1417,author
,,,,,Annette Olson,,http://rs.tdwg.org/ac/doc/guide/,,2022-05-12,,https://orcid.org/0000-0002-0772-0022,author
,,,,,Greg Riccardi,,http://rs.tdwg.org/ac/doc/guide/,,2022-05-12,,https://orcid.org/0000-0002-3850-9983,author
,,,,,Éamonn Ó Tuama,,http://rs.tdwg.org/ac/doc/guide/,,2022-05-12,,http://www.wikidata.org/entity/Q28913578,author
,,,,,Steven J Baskauf,,http://rs.tdwg.org/ac/doc/format/,,2022-05-12,,https://orcid.org/0000-0003-4365-3135,lead author
,,,,,Matthew Blissett,,http://rs.tdwg.org/ac/doc/format/,,2022-05-12,,https://orcid.org/0000-0003-0623-6682,contributor
,,,,,Douglas Boyer,,http://rs.tdwg.org/ac/doc/format/,,2022-05-12,,http://www.wikidata.org/entity/Q100599637,contributor
,,,,,Steven J Baskauf,,http://rs.tdwg.org/ac/doc/subtype/,,2022-05-12,,https://orcid.org/0000-0003-4365-3135,lead author
,,,,,Steven J Baskauf,,http://rs.tdwg.org/ac/doc/variant/,,2022-05-12,,https://orcid.org/0000-0003-4365-3135,lead author
,,,,,Dan Stowell,,http://rs.tdwg.org/ac/doc/variant/,,2022-05-12,,https://orcid.org/0000-0001-8068-3769,contributor
