qid,label_en,author_uuid,author,author_series_ordinal,contributor_role,author_stated_as,author_ref1_hash,author_ref1_referenceUrl,author_ref1_retrieved_nodeId,author_ref1_retrieved_val,author_ref1_retrieved_prec
Q111979621,,,Q73585974,,editor,Jessie Kennedy,,http://rs.tdwg.org/tcs/doc/guide/,,2022-05-12,
Q111979627,,,Q111976098,,editor,Diane Wyse Jackson,,http://rs.tdwg.org/itfbgpr/doc/specification/,,2022-05-12,
Q111979627,,,Q51885215,,editor,Christopher Hobson,,http://rs.tdwg.org/itfbgpr/doc/specification/,,2022-05-12,
Q111979627,,,Q21340328,,editor,Barry Conn,,http://rs.tdwg.org/itfbgpr/doc/specification/,,2022-05-12,
Q111979627,,,Q111976122,,editor,Richard Piacentini,,http://rs.tdwg.org/itfbgpr/doc/specification/,,2022-05-12,
Q111979627,,,Q55542739,,editor,Steve Waldren,,http://rs.tdwg.org/itfbgpr/doc/specification/,,2022-05-12,
Q111979627,,,Q51892660,,editor,Chris Ward,,http://rs.tdwg.org/itfbgpr/doc/specification/,,2022-05-12,
Q111979579,,,Q47502209,,review manager,Dag Endresen,,http://rs.tdwg.org/sds/doc/specification/,,2022-05-12,
Q111979580,,,Q47502209,,review manager,Dag Endresen,,http://rs.tdwg.org/vms/doc/specification/,,2022-05-12,
Q111979582,,,Q40670042,,review manager,Steve Baskauf,,http://www.tdwg.org/standards/638,,2022-05-12,
Q111979583,,,Q40670042,,review manager,Steve Baskauf,,http://www.tdwg.org/standards/638,,2022-05-12,
Q111979584,,,Q40670042,,review manager,Steve Baskauf,,http://www.tdwg.org/standards/638,,2022-05-12,
Q111979591,,,Q99580292,,review manager,Ben Richardson,,http://www.tdwg.org/standards/150,,2022-05-12,
Q111979593,,,Q99580292,,review manager,Ben Richardson,,http://www.tdwg.org/standards/150,,2022-05-12,
Q111979596,,,Q111976102,,review manager,Gail E. Kampmeier,,http://www.tdwg.org/standards/450,,2022-05-12,
Q111979597,,,Q111976102,,review manager,Gail E. Kampmeier,,http://www.tdwg.org/standards/450,,2022-05-12,
Q111979599,,,Q111976102,,review manager,Gail E. Kampmeier,,http://www.tdwg.org/standards/450,,2022-05-12,
Q111979600,,,Q111976102,,review manager,Gail E. Kampmeier,,http://www.tdwg.org/standards/450,,2022-05-12,
Q111979608,,,Q51883977,,review manager,Piers Higgs,,http://www.tdwg.org/standards/449,,2022-05-12,
Q111979612,,,Q28913664,,reviewer,Lee Belbin,,http://rs.tdwg.org/tapir/doc/guide/,,2022-05-12,
Q111979612,,,Q53584980,,reviewer,Markus Döring,,http://rs.tdwg.org/tapir/doc/guide/,,2022-05-12,
