documentTitle,current_iri,doc_created,doc_modified,publisher,license_statement,license_uri,citation,creator,comment,accessUrl,browserRedirectUri,dcterms_isPartOf,abstract
Standards Documentation Specification,http://rs.tdwg.org/sds/doc/specification/,2007-11-05,2017-04-25,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Vocabulary Maintenance Specification Task Group. 2017. Standards Documentation Specification. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/sds/doc/specification/,TDWG Vocabulary Maintenance Specification Task Group,,https://raw.githubusercontent.com/tdwg/vocab/master/sds/documentation-specification.md,https://github.com/tdwg/vocab/blob/master/sds/documentation-specification.md,http://www.tdwg.org/standards/147,This document defines how TDWG standards are to be presented. It provides details about the hierarchical structure of standards and versioning of standards components. It specifies how the properties of standards and their components are to be described in human-readable and machine-readable terms.
Vocabulary Maintenance Specification,http://rs.tdwg.org/vms/doc/specification/,2017-04-25,2017-04-25,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Vocabulary Maintenance Specification Task Group. 2017. Vocabulary Maintenance Specification. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/vms/doc/specification/,TDWG Vocabulary Maintenance Specification Task Group,,https://raw.githubusercontent.com/tdwg/vocab/master/vms/maintenance-specification.md,https://github.com/tdwg/vocab/blob/master/vms/maintenance-specification.md,http://www.tdwg.org/standards/642,This document describes the processes used to modify TDWG vocabularies and their associated documents.
Audubon Core Term List,http://rs.tdwg.org/ac/doc/termlist/,2013-10-23,2021-10-05,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA) License.,http://creativecommons.org/licenses/by-sa/4.0/,Audubon Core Maintenance Group. 2021. Audubon Core Term List. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/ac/doc/termlist/2021-10-05,GBIF/TDWG Multimedia Resources Task Group,,https://github.com/tdwg/ac/raw/master/docs/termlist.md,https://tdwg.github.io/ac/termlist/,http://www.tdwg.org/standards/638,"The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections. It aims to represent information that will help to determine whether a particular resource or collection will be fit for some particular biodiversity science application before acquiring the media. Among others, the vocabularies address such concerns as the management of the media and collections, descriptions of their content, their taxonomic, geographic, and temporal coverage, and the appropriate ways to retrieve, attribute and reproduce them. This document contains a list of attributes of each Audubon Core term, including a documentation name, a specified URI, a recommended English label for user interfaces, a definition, and some ancillary notes. This document contains normative content that may not be changed without due process."
Audubon Core Structure,http://rs.tdwg.org/ac/doc/structure/,2013-10-23,2021-10-05,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA) License.,http://creativecommons.org/licenses/by-sa/4.0/,Audubon Core Maintenance Group. 2021. Audubon Core Structure. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/ac/doc/structure/2021-10-05,GBIF/TDWG Multimedia Resources Task Group,,https://github.com/tdwg/ac/raw/master/docs/structure.md,https://tdwg.github.io/ac/structure/,http://www.tdwg.org/standards/638,"The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections. These vocabularies aim to represent information that will help to determine whether a particular resource or collection will be fit for some particular biodiversity science application before acquiring the media. Among others, the vocabularies address such concerns as the management of the media and collections, descriptions of their content, their taxonomic, geographic, and temporal coverage, and the appropriate ways to retrieve, attribute and reproduce them. This document contains material introductory to the Audubon Core Term List."
Audubon Core Introduction,http://rs.tdwg.org/ac/doc/introduction/,2013-10-23,2013-10-23,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA) License.,http://creativecommons.org/licenses/by-sa/4.0/,Multimedia Resources Task Group. 2013. Audubon Core Introduction. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/ac/doc/introduction/,GBIF/TDWG Multimedia Resources Task Group,,https://github.com/tdwg/ac/raw/master/docs/introduction.md,https://tdwg.github.io/ac/introduction/,http://www.tdwg.org/standards/638,"The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections. These vocabularies aim to represent information that will help to determine whether a particular resource or collection will be fit for some particular biodiversity science application before acquiring the media. Among others, the vocabularies address such concerns as the management of the media and collections, descriptions of their content, their taxonomic, geographic, and temporal coverage, and the appropriate ways to retrieve, attribute and reproduce them. "
Audubon Core Guide,http://rs.tdwg.org/ac/doc/guide/,2013-10-15,2013-10-15,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA) License.,http://creativecommons.org/licenses/by-sa/4.0/,Multimedia Resources Task Group. 2013. Audubon Core Guide. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/ac/doc/guide/,GBIF/TDWG Multimedia Resources Task Group,,https://github.com/tdwg/ac/raw/master/docs/guide.md,https://tdwg.github.io/ac/guide/,http://www.tdwg.org/standards/638,The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections. This non-normative document provides some background to the aims and uses of the standard.
Controlled Vocabulary for Dublin Core format: List of Terms,http://rs.tdwg.org/ac/doc/format/,2020-10-13,2020-10-13,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Audubon Core Maintenance Group. 2020. Controlled Vocabulary for Dublin Core format: List of Terms. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/ac/doc/format/2020-10-13,TDWG Audubon Core Maintenance Group,,https://raw.githubusercontent.com/tdwg/ac/master/docs/format.md,https://tdwg.github.io/ac/format/,http://www.tdwg.org/standards/638,Audubon Core borrows the Dublin Core terms dc:format and dcterms:format to provide information about the physical or electronic format of a media item. This controlled vocabulary provides values for those two terms.
Controlled Vocabulary for Audubon Core subtype: List of Terms,http://rs.tdwg.org/ac/doc/subtype/,2020-10-13,2020-10-13,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Audubon Core Maintenance Group. 2020. Controlled Vocabulary for Audubon Core subtype: List of Terms. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/ac/doc/subtype/2020-10-13,TDWG Audubon Core Maintenance Group,,https://raw.githubusercontent.com/tdwg/ac/master/docs/subtype.md,https://tdwg.github.io/ac/subtype/,http://www.tdwg.org/standards/638,"Audubon Core uses the terms ac:subtype and ac:subtypeLiteral to refine the type of a media item to a level more specific than the Dublin Core Type Vocabulary, http://purl.org/dc/dcmitype/. This controlled vocabulary provides values for ac:subtype and ac:subtypeLiteral."
Controlled Vocabulary for Audubon Core variant: List of Terms,http://rs.tdwg.org/ac/doc/variant/,2020-10-13,2020-10-13,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Audubon Core Maintenance Group. 2020. Controlled Vocabulary for Audubon Core variant: List of Terms. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/ac/doc/variant/2020-10-13,TDWG Audubon Core Maintenance Group,,https://raw.githubusercontent.com/tdwg/ac/master/docs/variant.md,https://tdwg.github.io/ac/variant/,http://www.tdwg.org/standards/638,"Audubon Core uses the terms ac:variant and ac:variantLiteral to provide information about the size, extent, and availability of the Service Access Point of a media item. This controlled vocabulary provides values for those terms."
Globally Unique Identifiers Applicability Statement,http://rs.tdwg.org/guid/doc/guidas/,2010-09-09,2010-09-09,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,Globally Unique Identifiers Task Group. 2011. Globally Unique Identifiers (GUID) Applicability Statement. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/guid/doc/guidas/,TDWG Globally Unique Identifiers Task Group,,https://github.com/tdwg/guid-as/blob/master/guid/tdwg_guid_applicability_statement.pdf,https://github.com/tdwg/guid-as/blob/master/guid/tdwg_guid_applicability_statement.pdf,http://www.tdwg.org/standards/150,"This document provides guidance on how to use GUIDs (Globally Unique Identifiers) to meet specific requirements of the biodiversity information community.  It applies to GUIDs in general; there is, or will be, a separate document for the applicability of each specific GUID technology."
