qid,label_en,description_en,instance_of_uuid,instance_of,published_uuid,published_nodeId,published_val,published_prec,published_ref1_hash,published_ref1_referenceUrl,published_ref1_retrieved_nodeId,published_ref1_retrieved_val,published_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,partOf_uuid,partOf,partOf_ref1_hash,partOf_ref1_referenceUrl,partOf_ref1_retrieved_nodeId,partOf_ref1_retrieved_val,partOf_ref1_retrieved_prec,fullWork_uuid,fullWork,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_referenceUrl,publisher_ref1_retrieved_nodeId,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec,license_uuid,license,license_ref1_hash,license_ref1_referenceUrl,license_ref1_retrieved_nodeId,license_ref1_retrieved_val,license_ref1_retrieved_prec
Q111979579,TDWG Standards Documentation Specification,document that defines how TDWG standards are to be presented,1117E2B4-C7CC-4B25-8778-7373199939F1,Q20819677,FD9EDBB9-72A2-436A-A312-02355E22BAB8,e4775e82-add3-4a7b-88b4-5a79340998a0,2017-04-25T00:00:00Z,11,c01636c47c7673f464c5325b2d3db3949e8c4b4e,http://www.tdwg.org/standards/147,3936ce06-a1f4-4781-9aec-3b9ee2672b26,2022-05-12T00:00:00Z,11,9AB02398-637D-440F-8171-EA3AF39FEF1B,Standards Documentation Specification,c01636c47c7673f464c5325b2d3db3949e8c4b4e,http://www.tdwg.org/standards/147,df122262-fb5a-4876-8999-6e31efab32ef,2022-05-12T00:00:00Z,11,8377CAC8-304C-4B77-BDD9-22083FCE7A45,Q111977342,c01636c47c7673f464c5325b2d3db3949e8c4b4e,http://www.tdwg.org/standards/147,63026097-195f-40b8-957e-ae5f57092ba0,2022-05-12T00:00:00Z,11,BCD3A7F2-07DB-4EA5-BB4A-AB458785C7F8,http://rs.tdwg.org/sds/doc/specification/,055D72FF-6BC8-48CF-BC4B-423104E088AD,Q4914768,c01636c47c7673f464c5325b2d3db3949e8c4b4e,http://www.tdwg.org/standards/147,dfd018ac-8bdd-4a0e-b987-b17e462dddf8,2022-05-12T00:00:00Z,11,A63BDFFC-3D4A-4457-9362-1113CE8F7266,Q20007257,be5865a9885d672e6df53e08a9a293d194fd1334,http://rs.tdwg.org/sds/doc/specification/,f913d53d-00e2-42df-a33f-e007f4e40b47,2022-05-12T00:00:00Z,11
Q111979580,TDWG Vocabulary Maintenance Specification,document that describes the processes used to modify TDWG vocabularies and their associated documents,65830477-2E4D-4E26-A9BE-CD274B096729,Q20819677,BB82962C-7D5F-4264-ABD2-76A09FD3D33E,3d3a2518-1763-46bb-917b-6485d9eb1b1a,2017-04-25T00:00:00Z,11,4329f226e6afc3a95448ba57ef5f57800b21b728,http://www.tdwg.org/standards/642,125fbe0f-631f-4fd3-9b12-0878ff5c9b15,2022-05-12T00:00:00Z,11,3F3AB984-D452-46A4-BB90-312E3534A698,Vocabulary Maintenance Specification,4329f226e6afc3a95448ba57ef5f57800b21b728,http://www.tdwg.org/standards/642,96bb3fc1-bc63-4b97-b27f-de69ab849ed1,2022-05-12T00:00:00Z,11,AD7583F9-B786-4A3F-86C8-79B38CA9C3A7,Q111977343,4329f226e6afc3a95448ba57ef5f57800b21b728,http://www.tdwg.org/standards/642,95430ffe-015c-4eef-8d97-cadee3398122,2022-05-12T00:00:00Z,11,E666FF69-6ECB-4707-A00B-4E9CBFD01D20,http://rs.tdwg.org/vms/doc/specification/,D13FFB52-FD2C-4800-8ED9-7C1D20CA4673,Q4914768,4329f226e6afc3a95448ba57ef5f57800b21b728,http://www.tdwg.org/standards/642,02317e23-fef0-44ac-92ee-2939cd1e5fa3,2022-05-12T00:00:00Z,11,28C04B55-8F67-4050-A6C1-F73461CB2FAA,Q20007257,da5d7bf45a252a951460dbf7db32b0567cc9f9bf,http://rs.tdwg.org/vms/doc/specification/,18bc69d6-6771-4a0a-ae47-13f1c14a9a73,2022-05-12T00:00:00Z,11
Q111979582,Audubon Core Term List,contains a list of attributes of each Audubon Core term,3AC36FCF-E9C3-4FC8-9CB0-8C1F95895A93,Q20819677,D9E3BD1A-E4E2-411E-87E9-DD98E0353E27,f519bd88-580d-4bf1-95b9-9076a77c710f,2021-10-05T00:00:00Z,11,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,613390c3-b3d6-4e47-afb6-9be66ef23f9d,2022-05-12T00:00:00Z,11,524E4A9F-F125-4538-BC1C-AF6948105C42,Audubon Core Term List,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,aef37ccd-f1c9-4979-af92-4692919f1dbd,2022-05-12T00:00:00Z,11,644EEB21-07F0-4306-AFAD-DD440722C610,Q51883861,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,7b101731-fd47-4821-9a8f-2374e3f4284b,2022-05-12T00:00:00Z,11,15C75F5B-FB7D-46C5-9E25-F513D0491A05,http://rs.tdwg.org/ac/doc/termlist/,B6C94AE2-6CE3-4235-AFE2-8DC28E7E7ECA,Q4914768,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,7803c7e4-0350-4f69-a01c-5448a39124eb,2022-05-12T00:00:00Z,11,9FED70AD-2D18-44CA-B0CD-46FD564507CD,Q20007257,a9b904ff94bc5154562775a5b26a092be0a738a7,http://rs.tdwg.org/ac/doc/termlist/,43220a55-931b-4454-8e60-5ad07dba6a1c,2022-05-12T00:00:00Z,11
Q111979583,Audubon Core Structure,material introductory to the Audubon Core Term List,A649ADFD-48AD-4DFC-9E0E-63BA5C960584,Q20819677,7D4B564F-468D-4C21-96A1-D4B47FD0B4C3,b012c713-6d83-4ad2-9b67-245414ade6c1,2021-10-05T00:00:00Z,11,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,236a7369-5e59-4093-8694-df1e4b0abf1f,2022-05-12T00:00:00Z,11,0EED9910-632A-49B0-AD1B-D092AE442E02,Audubon Core Structure,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,10889e62-8d10-41e3-bb4a-d4187b9ac4a2,2022-05-12T00:00:00Z,11,273028FD-7D6B-4C57-8A42-E90BB38104D5,Q51883861,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,160160c0-3839-4d4b-8088-966ba2993106,2022-05-12T00:00:00Z,11,A082B206-BB52-4469-AD68-D2E71DEF012B,http://rs.tdwg.org/ac/doc/structure/,AC0EFA06-BA89-4BFB-A0A8-77640D904A9B,Q4914768,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,44083c97-5c2f-4419-99e1-cc2ff50639d5,2022-05-12T00:00:00Z,11,8FC23929-A2F4-4C61-8123-5DE5167599A0,Q20007257,54afb0810df708b9b3c2a25b36f88b5b1204f759,http://rs.tdwg.org/ac/doc/structure/,0e62a456-18dd-4f79-a834-6c814cb28f83,2022-05-12T00:00:00Z,11
Q111979584,Audubon Core Introduction,an introduction to the Audubon Core standard,E41292EA-121D-4E0F-B7C3-A2F1ADD485A2,Q20819677,B6D5DB80-0DD2-4243-AEE4-1451D2991FB1,112d48b3-257e-48b9-8164-6ba31e8e0cf3,2013-10-23T00:00:00Z,11,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,4cb1d394-a043-4bc7-8794-116dc3d8cc1f,2022-05-12T00:00:00Z,11,3F20FE7E-765B-470C-8194-C81CA1A565DD,Audubon Core Introduction,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,c74663ba-e27a-49ba-b3c4-c8e9a053bd69,2022-05-12T00:00:00Z,11,96D5C019-77C9-46C6-B658-FEC5087B4A73,Q51883861,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,f14c8481-ccd7-49d5-96e7-0039328ccd5d,2022-05-12T00:00:00Z,11,E8EAD0F1-0B31-435D-9AEE-B797CA16FA49,http://rs.tdwg.org/ac/doc/introduction/,1633631E-8C37-4966-9669-D023A6BE188D,Q4914768,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,d3f1faa0-3426-47f7-9088-c640f0537980,2022-05-12T00:00:00Z,11,162DC2F7-C77F-4CDA-8EB2-E8D27995401D,Q20007257,d1dc511708b5de545278a7349974ca49e43b41fb,http://rs.tdwg.org/ac/doc/introduction/,3cbdb250-368f-46f5-8514-4a0b59123d2f,2022-05-12T00:00:00Z,11
Q111979586,Audubon Core Guide,non-normative user guide for the Audubon Core standard,64142FF6-F1C0-459C-9FAD-DDB7DF800D9F,Q20819677,CB8A8887-8A79-43A1-8FB2-F742650EF0AC,7a572a97-042a-45aa-b8bf-43dc2bf20d24,2013-10-15T00:00:00Z,11,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,04de0072-510d-401a-b363-ae32e384b008,2022-05-12T00:00:00Z,11,E3206D7A-1C45-4D7B-92EC-4772B24E52B4,Audubon Core Guide,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,1ef980b2-b646-4ea8-a1fd-0e08299be269,2022-05-12T00:00:00Z,11,E8FA4853-E74D-4205-A5A5-DF9AF61AB14A,Q51883861,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,fd3e11fe-2835-4939-b2cc-6820fc062486,2022-05-12T00:00:00Z,11,6FD2A25C-26B2-43F8-A65A-638468FE6F18,http://rs.tdwg.org/ac/doc/guide/,72DDB783-113C-4042-87F9-016622EB0B2E,Q4914768,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,1e22efa9-95be-4ab7-a884-26b6fbe18acc,2022-05-12T00:00:00Z,11,511DEEEA-70F1-4665-8151-0A2E1B421D8C,Q20007257,1f1fb26232695c5f1f04efcc38efb53fd75532aa,http://rs.tdwg.org/ac/doc/guide/,32d2b26f-6773-4738-aa3d-1a518c204654,2022-05-12T00:00:00Z,11
Q111979587,Controlled Vocabulary for Dublin Core format: List of Terms,controlled vocabulary provides values for dc:format and dcterms:format,E454A9A0-1766-40AA-B600-899C246F5531,Q20819677,B1D5088D-4DD8-47A3-BB4B-45D421F88EED,c79b8d36-400d-4034-b1d2-06928631b31c,2020-10-13T00:00:00Z,11,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,d6c50352-1d0a-49db-8f40-5773b376288f,2022-05-12T00:00:00Z,11,6AEF2BBB-3C1E-432F-96CD-03729DF0159A,Controlled Vocabulary for Dublin Core format: List of Terms,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,26afc64d-1c43-485c-aec1-f87e73603af4,2022-05-12T00:00:00Z,11,0661859F-5F89-4E8D-AFEB-E607319D205F,Q51883861,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,7390bbfe-bdd8-43e3-85d6-59ac979db00e,2022-05-12T00:00:00Z,11,AD06B53E-1B62-4AAB-981A-C43461CABC61,http://rs.tdwg.org/ac/doc/format/,77069300-B4DB-484F-87B1-2D0860142076,Q4914768,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,b230efa6-78d2-4a8c-8128-6ca7cb134cd4,2022-05-12T00:00:00Z,11,9FEC9AFC-8118-4B35-9C2E-1267540011F3,Q20007257,999ba258b63f465f2ca0c24a1a40f367b200db27,http://rs.tdwg.org/ac/doc/format/,cebb94dc-afa2-4d86-8ff7-e95569127871,2022-05-12T00:00:00Z,11
Q111979589,Controlled Vocabulary for Audubon Core subtype: List of Terms,controlled vocabulary provides values for ac:subtype and ac:subtypeLiteral.,4AFE567D-6E70-4B81-AB12-38760D514B3B,Q20819677,E6B74467-87D8-4916-9899-D9C973F5646E,3c4211c6-f778-4711-b6e3-81e64de885e3,2020-10-13T00:00:00Z,11,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,621df338-a00c-4ed9-972e-a98b18765568,2022-05-12T00:00:00Z,11,8BF611C4-E8CE-4F77-9CB0-078EBF6F1414,Controlled Vocabulary for Audubon Core subtype: List of Terms,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,1c74b722-a046-443d-9e3a-e160e7008ee4,2022-05-12T00:00:00Z,11,C841F4EE-B0F2-4DE9-A23C-9BE35C2021D9,Q51883861,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,f4657b18-1d25-4c6b-a194-04b55f0f4f12,2022-05-12T00:00:00Z,11,965C8AA2-2E98-4215-BF6E-79088D89B71A,http://rs.tdwg.org/ac/doc/subtype/,BD643A19-B6AE-460D-878A-287E2A9CDCFD,Q4914768,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,df8483f3-2764-47df-b175-04c672531c04,2022-05-12T00:00:00Z,11,B4449287-9399-454C-AE21-FB70E505083E,Q20007257,d31d06a9ed55d2cfd72e0ce067247498e8db01a0,http://rs.tdwg.org/ac/doc/subtype/,7f52adc5-d9ad-467a-abe0-a64617c8f79d,2022-05-12T00:00:00Z,11
Q111979590,Controlled Vocabulary for Audubon Core variant: List of Terms,controlled vocabulary provides values for those ac:variant and ac:variantLiteral,D7D4998D-014D-44D7-9C7C-F522FF3DB419,Q20819677,2DAEE722-7975-413E-ADC0-B55C38C3F23D,e5a26951-53f7-4319-bb32-c985e2c6b51b,2020-10-13T00:00:00Z,11,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,2d1cf918-28a6-4d0c-8358-c16c93a634d4,2022-05-12T00:00:00Z,11,58878D47-226E-45DC-AF8E-BCA1EE373BCB,Controlled Vocabulary for Audubon Core variant: List of Terms,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,468daf75-2991-4a82-b34a-3bb961f4c983,2022-05-12T00:00:00Z,11,210A103C-719D-4DDF-8BE2-D14C9217C812,Q51883861,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,c20e0cc6-68cd-43e9-a77b-96f9da3b3fd6,2022-05-12T00:00:00Z,11,4DA58814-D66A-4C07-8C12-44B57E83758F,http://rs.tdwg.org/ac/doc/variant/,19D45FB3-7B9F-48F9-B9B2-183D65F7342C,Q4914768,254d550729e81a9bade9ca5ceab2e9a470daba8c,http://www.tdwg.org/standards/638,dd8738fe-909a-4a1d-8192-25d847eb6cc5,2022-05-12T00:00:00Z,11,6625D982-EAC3-4DFE-BABC-3166EACB4A65,Q20007257,6a99b8d3b055f631d7c97b2e6bdf46cfd9754af0,http://rs.tdwg.org/ac/doc/variant/,46d15108-c773-4c81-8aed-ffbdcf19799b,2022-05-12T00:00:00Z,11
Q111979591,Globally Unique Identifiers Applicability Statement,provides guidance on how to use GUIDs (Globally Unique Identifiers) to meet specific requirements of the biodiversity information community,A08FD8D6-0C9A-4A12-B48E-70F2EAEA409D,Q20819677,D2F4375D-4827-4745-9401-F9458868FE84,05265a71-73b6-4814-8a96-578dd3ffcf36,2010-09-09T00:00:00Z,11,20700fa464091f904c27c2acee71a2aef2a40f38,http://www.tdwg.org/standards/150,bb7bc60c-d91c-481f-ab7b-979b6e4f4967,2022-05-12T00:00:00Z,11,98D00849-AC29-4E58-A231-4F9DEBFD9267,Globally Unique Identifiers Applicability Statement,20700fa464091f904c27c2acee71a2aef2a40f38,http://www.tdwg.org/standards/150,b6701ab9-2144-4b3a-a752-b155ae6d843f,2022-05-12T00:00:00Z,11,45C0E60C-C72D-4966-8921-C3A764F0B8A4,Q51883899,20700fa464091f904c27c2acee71a2aef2a40f38,http://www.tdwg.org/standards/150,ef1748cd-ca67-4f1e-b3cf-f8756c09a3a2,2022-05-12T00:00:00Z,11,38B1C66E-0B8F-4E24-8D67-1E1E7B4BB2AE,http://rs.tdwg.org/guid/doc/guidas/,A2662B9C-82A3-4C76-8CF0-F3F66B3852F4,Q4914768,20700fa464091f904c27c2acee71a2aef2a40f38,http://www.tdwg.org/standards/150,1ab0eb10-8109-43a0-8477-59c9a9339884,2022-05-12T00:00:00Z,11,2381E598-DC71-4C72-BE72-CF5322017F0F,Q20007257,a48976a1677fa63ef636a3a301cb8513623c84b7,http://rs.tdwg.org/guid/doc/guidas/,c7fb06d1-015c-47b0-8047-3f2c1082c81a,2022-05-12T00:00:00Z,11
