qid,label_en,description_en,instance_of_uuid,instance_of,published_uuid,published_nodeId,published_val,published_prec,published_ref1_hash,published_ref1_referenceUrl,published_ref1_retrieved_nodeId,published_ref1_retrieved_val,published_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,partOf_uuid,partOf,partOf_ref1_hash,partOf_ref1_referenceUrl,partOf_ref1_retrieved_nodeId,partOf_ref1_retrieved_val,partOf_ref1_retrieved_prec,fullWork_uuid,fullWork,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_referenceUrl,publisher_ref1_retrieved_nodeId,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec,license_uuid,license,license_ref1_hash,license_ref1_referenceUrl,license_ref1_retrieved_nodeId,license_ref1_retrieved_val,license_ref1_retrieved_prec
,TDWG Standards Documentation Specification,document defines how TDWG standards are to be presented,,Q20819677,,aef87bf0-8ba3-458d-a4cc-948ac5de5563,2017-04-25T00:00:00Z,11,,http://www.tdwg.org/standards/147,5b86c55f-5be7-46a0-bb08-04ac28836ea2,2022-05-12T00:00:00Z,11,,Standards Documentation Specification,,http://www.tdwg.org/standards/147,f8aac69c-027b-411a-bf2d-c52bd62b4716,2022-05-12T00:00:00Z,11,,,,http://www.tdwg.org/standards/147,551c00df-afc0-482f-a3c3-19e9119656af,2022-05-12T00:00:00Z,11,,http://rs.tdwg.org/sds/doc/specification/,,Q4914768,,http://www.tdwg.org/standards/147,60eb9a84-16c5-4dd5-bf49-800a3543f107,2022-05-12T00:00:00Z,11,,Q20007257,,http://rs.tdwg.org/sds/doc/specification/,99d2a0c1-c349-4f66-a317-f5360ce4ce71,2022-05-12T00:00:00Z,11
,TDWG Vocabulary Maintenance Specification,document describes the processes used to modify TDWG vocabularies and their associated documents,,Q20819677,,d59b8d94-c20b-4a64-9a68-385083e1b487,2017-04-25T00:00:00Z,11,,http://www.tdwg.org/standards/642,11689177-2fa8-484e-ba19-95a1dd9f0813,2022-05-12T00:00:00Z,11,,Vocabulary Maintenance Specification,,http://www.tdwg.org/standards/642,83b69623-222b-48d1-80c9-da56ff525bf0,2022-05-12T00:00:00Z,11,,,,http://www.tdwg.org/standards/642,e2fce6c3-80ae-4eed-b03e-27736df3d8af,2022-05-12T00:00:00Z,11,,http://rs.tdwg.org/vms/doc/specification/,,Q4914768,,http://www.tdwg.org/standards/642,d4d378ce-e4cd-4454-8fce-af1851c498ee,2022-05-12T00:00:00Z,11,,Q20007257,,http://rs.tdwg.org/vms/doc/specification/,1d72c0c2-f60a-4171-9a0c-21af9df9abd1,2022-05-12T00:00:00Z,11
,Audubon Core Term List,document contains a list of attributes of each Audubon Core term,,Q20819677,,0c4eaeea-143f-493e-8509-1c85cd07ac00,2021-10-05T00:00:00Z,11,,http://www.tdwg.org/standards/638,334e8ffe-b648-4ee1-83a5-08a021d350ce,2022-05-12T00:00:00Z,11,,Audubon Core Term List,,http://www.tdwg.org/standards/638,d141c35e-3126-4d12-8e17-81d609a4b86e,2022-05-12T00:00:00Z,11,,,,http://www.tdwg.org/standards/638,2cf997e4-f896-4a8b-b987-bdc9d1a29e29,2022-05-12T00:00:00Z,11,,http://rs.tdwg.org/ac/doc/termlist/,,Q4914768,,http://www.tdwg.org/standards/638,f45c292d-5703-4549-a6ff-12fefe16d33b,2022-05-12T00:00:00Z,11,,Q20007257,,http://rs.tdwg.org/ac/doc/termlist/,55a323b2-b5e3-4127-878a-804b06fa5c2f,2022-05-12T00:00:00Z,11
,Audubon Core Structure,document contains material introductory to the Audubon Core Term List,,Q20819677,,6592fdad-1334-469f-aa82-9c9c60fcdaa5,2021-10-05T00:00:00Z,11,,http://www.tdwg.org/standards/638,547cc0ac-80d6-49af-9fe3-eccd34aefe91,2022-05-12T00:00:00Z,11,,Audubon Core Structure,,http://www.tdwg.org/standards/638,bd4b8e93-7104-486c-ab81-70018ba62807,2022-05-12T00:00:00Z,11,,,,http://www.tdwg.org/standards/638,1a0351ca-bf40-4ace-b338-241abeaff37c,2022-05-12T00:00:00Z,11,,http://rs.tdwg.org/ac/doc/structure/,,Q4914768,,http://www.tdwg.org/standards/638,8bfab685-e5c9-417e-afd0-c1f8b8d0b495,2022-05-12T00:00:00Z,11,,Q20007257,,http://rs.tdwg.org/ac/doc/structure/,ab4f6b47-5f9b-402b-96fc-803944861334,2022-05-12T00:00:00Z,11
,Audubon Core Introduction,introduction to the Audubon Core standard,,Q20819677,,bb993676-c028-4e29-b50a-82aacff74384,2013-10-23T00:00:00Z,11,,http://www.tdwg.org/standards/638,2b07c1cc-c911-4b01-9642-35dcb40e176b,2022-05-12T00:00:00Z,11,,Audubon Core Introduction,,http://www.tdwg.org/standards/638,6fad02f5-1bf8-4d7f-9027-c5920df7f517,2022-05-12T00:00:00Z,11,,,,http://www.tdwg.org/standards/638,71364e28-b706-45e8-ac85-a16be73303a1,2022-05-12T00:00:00Z,11,,http://rs.tdwg.org/ac/doc/introduction/,,Q4914768,,http://www.tdwg.org/standards/638,78c091f2-173f-4b23-8de6-0d94903e3b40,2022-05-12T00:00:00Z,11,,Q20007257,,http://rs.tdwg.org/ac/doc/introduction/,c9a7db42-4a17-4ba2-aade-5b02451f42e9,2022-05-12T00:00:00Z,11
,Audubon Core Guide,non-normative user guide for Audubon Core,,Q20819677,,931ee04e-aec9-4c85-a412-c2f90e685482,2013-10-15T00:00:00Z,11,,http://www.tdwg.org/standards/638,c9cdc65f-820b-45f2-bbee-000be26b8a29,2022-05-12T00:00:00Z,11,,Audubon Core Guide,,http://www.tdwg.org/standards/638,c6578309-0845-4a22-97b5-3c4efb1593f4,2022-05-12T00:00:00Z,11,,,,http://www.tdwg.org/standards/638,8aaa28ca-f014-4c9d-9a18-08e0017a2cc5,2022-05-12T00:00:00Z,11,,http://rs.tdwg.org/ac/doc/guide/,,Q4914768,,http://www.tdwg.org/standards/638,589e4d55-e0a8-4110-a985-70e80ffad8e5,2022-05-12T00:00:00Z,11,,Q20007257,,http://rs.tdwg.org/ac/doc/guide/,1177a3bb-337f-45b0-8911-c8bfd231cf25,2022-05-12T00:00:00Z,11
,Controlled Vocabulary for Dublin Core format: List of Terms,controlled vocabulary provides values for  dc:format and dcterms:format,,Q20819677,,a6671eab-69f7-4c48-aaa2-27abcc08b405,2020-10-13T00:00:00Z,11,,http://www.tdwg.org/standards/638,6fa4d8b2-435a-4649-9b30-09d73b236a57,2022-05-12T00:00:00Z,11,,Controlled Vocabulary for Dublin Core format: List of Terms,,http://www.tdwg.org/standards/638,0d88e8bd-7882-40e6-922a-675bb0897044,2022-05-12T00:00:00Z,11,,,,http://www.tdwg.org/standards/638,3a13f3e9-a1bf-429b-b6c8-62a60debb31c,2022-05-12T00:00:00Z,11,,http://rs.tdwg.org/ac/doc/format/,,Q4914768,,http://www.tdwg.org/standards/638,7cdc68fa-ab46-4540-bbdb-6b12919b9a7c,2022-05-12T00:00:00Z,11,,Q20007257,,http://rs.tdwg.org/ac/doc/format/,e8673144-499a-4e00-9437-488346022165,2022-05-12T00:00:00Z,11
,Controlled Vocabulary for Audubon Core subtype: List of Terms,controlled vocabulary provides values for ac:subtype and ac:subtypeLiteral,,Q20819677,,dfa8cdfe-ed7e-4158-84cc-d3a4890dc62f,2020-10-13T00:00:00Z,11,,http://www.tdwg.org/standards/638,5ee275f3-d99c-4d80-9ba0-d74b789b6f86,2022-05-12T00:00:00Z,11,,Controlled Vocabulary for Audubon Core subtype: List of Terms,,http://www.tdwg.org/standards/638,46544958-6b5a-4e7a-bbaa-e1af25c356f4,2022-05-12T00:00:00Z,11,,,,http://www.tdwg.org/standards/638,b647b101-d8dc-47cc-b065-2f1b9adc26e0,2022-05-12T00:00:00Z,11,,http://rs.tdwg.org/ac/doc/subtype/,,Q4914768,,http://www.tdwg.org/standards/638,967bfd7e-0dfc-4338-a1f3-70c92bda6bfe,2022-05-12T00:00:00Z,11,,Q20007257,,http://rs.tdwg.org/ac/doc/subtype/,4174b338-ff5d-422a-afb8-804aef857224,2022-05-12T00:00:00Z,11
,Controlled Vocabulary for Audubon Core variant: List of Terms,controlled vocabulary provides values for ac:variant and ac:variantLiteral,,Q20819677,,851174d0-2441-4ff1-875f-67d06b3be325,2020-10-13T00:00:00Z,11,,http://www.tdwg.org/standards/638,4d5f1145-dbf9-4469-a071-43281ff20c05,2022-05-12T00:00:00Z,11,,Controlled Vocabulary for Audubon Core variant: List of Terms,,http://www.tdwg.org/standards/638,133294c8-a010-45e4-abcc-14d51089dcbe,2022-05-12T00:00:00Z,11,,,,http://www.tdwg.org/standards/638,b95e364a-cb68-4111-bb38-3a284bd80b43,2022-05-12T00:00:00Z,11,,http://rs.tdwg.org/ac/doc/variant/,,Q4914768,,http://www.tdwg.org/standards/638,919f9386-1f16-44ea-be4f-efe13ecded5a,2022-05-12T00:00:00Z,11,,Q20007257,,http://rs.tdwg.org/ac/doc/variant/,27f282c8-50ff-4d1a-a2a0-4336ddca8eb4,2022-05-12T00:00:00Z,11
,Globally Unique Identifiers Applicability Statement,document provides guidance on how to use GUIDs (Globally Unique Identifiers),,Q20819677,,a38ebceb-612c-41e0-b3e7-1b20c79c95d6,2010-09-09T00:00:00Z,11,,http://www.tdwg.org/standards/150,902839f8-da2d-4599-a9e8-7373ca51f8f8,2022-05-12T00:00:00Z,11,,Globally Unique Identifiers Applicability Statement,,http://www.tdwg.org/standards/150,e497ae86-0eec-4ae6-86d1-1aebbe5f454f,2022-05-12T00:00:00Z,11,,,,http://www.tdwg.org/standards/150,f49c8723-218b-488f-8500-6cc571742f45,2022-05-12T00:00:00Z,11,,http://rs.tdwg.org/guid/doc/guidas/,,Q4914768,,http://www.tdwg.org/standards/150,1cbc8cea-8872-4208-96d1-915891f454aa,2022-05-12T00:00:00Z,11,,Q20007257,,http://rs.tdwg.org/guid/doc/guidas/,b3ade744-426f-4e7f-8e96-2c7c4a048144,2022-05-12T00:00:00Z,11
