qid,label_en,description_en,instanceOf_uuid,instanceOf,instanceOf_ref1_hash,instanceOf_ref1_referenceUrl,instanceOf_ref1_retrieved_nodeId,instanceOf_ref1_retrieved_val,instanceOf_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_ref1_hash,inception_ref1_statedIn,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,published_uuid,published_nodeId,published_val,published_prec,published_ref1_hash,published_ref1_referenceUrl,published_ref1_retrieved_nodeId,published_ref1_retrieved_val,published_ref1_retrieved_prec,website_uuid,website,website_language,website_ref1_hash,website_ref1_retrieved_nodeId,website_ref1_retrieved_val,website_ref1_retrieved_prec,standardsBody_uuid,standardsBody,standardsBody_ref1_hash,standardsBody_ref1_referenceUrl,standardsBody_ref1_retrieved_nodeId,standardsBody_ref1_retrieved_val,standardsBody_ref1_retrieved_prec,describedBy_uuid,describedBy,describedBy_ref1_hash,describedBy_ref1_referenceUrl,describedBy_ref1_retrieved_nodeId,describedBy_ref1_retrieved_val,describedBy_ref1_retrieved_prec
Q51495611,The International Transfer Format (ITF) for botanic garden plant records. Version 01.00,"| IUCN, Botanic Gardens Conservation Secretariat | UNEP-WCMC, Cambridge (archive.org)",1fb907c9-4a6b-e597-f54b-0b2a617eaaba,Q317623,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,,,,,9ABBF8E8-1625-4146-B6BC-9B296D2C5898,90ccb7cb-1a1c-4c4e-b7d2-3c10f3480a9f,1987-00-00T00:00:00Z,9,5bff276354ba00a7ce919740aaeefba8be65060a,http://www.tdwg.org/standards/102,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,4322d5fb-41cb-14d9-1f42-33a76d260d98,http://www.tdwg.org/standards/102,Q1860,745fee1a1e6775356b69e817c5a511fc054c286b,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,a104beb4-4cd0-9fba-3e02-b7f98c9d5222,Q4914768,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,
Q28956670,Floristic Regions of the World,,cd797ae1-489c-09a7-1d94-fb1c483ba9b7,Q317623,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,,,,,05B0F076-873C-4C42-BE3A-8F576B752717,cfaf3d5b7732ed16dd1e540bd9728aaf,1987-08-01T00:00:00Z,10,,,,,,A3CD9B12-85BA-4798-8ADB-85224748C3ED,http://www.tdwg.org/standards/104,Q1860,745fee1a1e6775356b69e817c5a511fc054c286b,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,f73fca2c-421b-8ff7-b7b4-42d6762ec36d,Q4914768,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,
Q11712089,Index Herbariorum,"Repository of data about research herbarium, most importantly standarized codes.",8c2955d2-4245-0897-d30f-3dcf69c391bc,Q317623,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,,,,,FDAA121C-30F7-4BCF-9713-96ED5B955B95,989dec2a-3582-45ec-b9fb-7db3cc719775,1990-00-00T00:00:00Z,9,9fdd759a1806f68bfd47efcc48a90c7c6c6985b6,http://www.tdwg.org/standards/105,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,2562DEAB-58F0-4519-A697-D2EB447EA81A,http://www.tdwg.org/standards/105,Q1860,745fee1a1e6775356b69e817c5a511fc054c286b,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,c035f93a-42f8-c1ea-4d43-8a771881bca3,Q4914768,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,
Q589536,Description Language for Taxonomy,data format used in taxonomy,0d9d183b-4708-a925-99b4-d94359357f95,Q317623,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,,,,,86B20CE8-C5CD-4773-B5A2-74BBF458C001,cd94513a-73ac-4432-90a8-28d183b07047,1986-00-00T00:00:00Z,9,63b9a69791ed597269ebe78cd2e84ff7a65c683f,http://www.tdwg.org/standards/107,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,048C59F1-A337-4469-A7EF-F30F79477474,http://www.tdwg.org/standards/107,Q1860,745fee1a1e6775356b69e817c5a511fc054c286b,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,a158430b-4dd4-1cc9-3114-5313e7feaaf4,Q4914768,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,
Q8035770,World Geographical Scheme for Recording Plant Distributions,a scientific work about a geographical scheme,77229b26-4194-f8a6-d2ef-b08c4ef56c60,Q317623,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,A685890C-21AE-4FCE-B4C7-4385A32FAB09,6141f380-7a37-4f03-8bff-f991dbbee82d,1992-00-00T00:00:00Z,9,2b68c16cf9aa954e968248f92d66cd4604d58a7e,,http://www.tdwg.org/standards/109,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,9e736216-46aa-c72c-3d9a-9104227f18d7,216f4f19c804fc50c737da9ae87494a9,2001-01-01T00:00:00Z,9,,,,,,f7b1b406-4698-e262-24f3-9364f346dd54,http://www.tdwg.org/standards/109,Q1860,745fee1a1e6775356b69e817c5a511fc054c286b,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,4bcb1f81-4efe-a162-197b-92caac043b96,Q4914768,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,
Q56649865,"Taxonomic literature : a selective guide to botanical publications and collections with dates, commentaries and types",Bibliography of botanical taxonomy,183199ab-4aa3-2af7-fd72-76d44ef30b85,Q317623,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,,,,,16DAA0EE-03D2-4239-856E-B00424D8C953,1e5d7253-dcf1-433e-bd27-ae326ca418c7,1976-00-00T00:00:00Z,9,95bb1b1541ca0b0f64f66fd8b411cf910a854ec6,http://www.tdwg.org/standards/111,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,E088A823-4F75-4661-BC57-8017B1BE2795,http://www.tdwg.org/standards/111,Q1860,745fee1a1e6775356b69e817c5a511fc054c286b,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,d095bb0e-4c44-88d4-f654-f69104160537,Q4914768,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,
Q43150264,Botanico Periodicum Huntianum,database of botanical journals,db713278-4649-e2d0-8f71-52b6336ee5a7,Q317623,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,,,,,11DC2518-93F3-4C2B-B8B4-369028B33C0D,5b74fb4b-03b7-46b7-a79c-97ce4d0b13ca,1970-00-00T00:00:00Z,9,d2a200a96d7b121f925667fd9cd6070d1bc8fa07,http://www.tdwg.org/standards/112,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,1E8F2CF1-E347-44DF-BE18-2010306FC92C,http://www.tdwg.org/standards/112,Q1860,745fee1a1e6775356b69e817c5a511fc054c286b,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,f1edc29d-426a-d1ff-478e-9c0b0bf2d01d,Q4914768,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,
Q93625714,Botanico-Periodicum-Huntianum/Supplementum,An index of botanical publications and a supplement to Botanico-periodicum-huntianum,43ad45ce-4abb-59a2-8187-3ab9c194a08f,Q317623,5f0c7caede127f5c3bab88c19abac3ffa1a88889,https://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,0EB18F1E-3C5D-4B02-A121-5776015DDD4D,c98eb27e-dbca-4291-b4d7-e68c27db9812,1991-00-00T00:00:00Z,9,ef2d62271003f05899f7a1da174d4f83c40465a5,,http://www.tdwg.org/standards/114,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,7087E4F3-7EC2-4635-A6A9-52B37FE85EEC,17c6f9268b93225c363698e76567a8af,1993-01-01T00:00:00Z,9,9a346a1d4206ffa4a741dea86b4360caad34f8f2,https://api.crossref.org/v1/works/10.2307/4117956,,,,C4CD414D-8442-4497-ADE7-4B3652E2A1F9,http://www.tdwg.org/standards/114,Q1860,745fee1a1e6775356b69e817c5a511fc054c286b,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,08c213ce-42ce-79d5-72d1-3440d94c7079,Q4914768,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,
Q30437955,Access to Biological Collection Data,technical standard for access to and exchange of data about specimens and observations,0b973163-4dab-7fcf-2ec3-dad861eeecb6,Q317623,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,,,,,371F979E-46A2-4227-AC4D-B64C5A30FBA0,37ea30a5-7aa5-4317-96d3-9891eef0a039,2005-09-16T00:00:00Z,11,83756031801574f2e9937061a0cd1af7ffdaa66a,http://www.tdwg.org/standards/115,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,9e29f8c0-497f-5fb6-8731-9a109a9b30a3,http://www.tdwg.org/standards/115,Q1860,745fee1a1e6775356b69e817c5a511fc054c286b,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,58b89b3e-4587-a77c-b227-519900a3e826,Q4914768,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,
Q51883899,GUID and Life Sciences Identifiers Applicability Statements,A standard to provide guidance for the use of GUIDs in biodiversity informatics,634115df-46d6-781a-5f5c-5444f1c0917e,Q317623,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,,,,,4877ed32-4a75-18d6-0a52-321393ff3728,19fb1e607fb895edac44d92bd9141272,2011-01-01T00:00:00Z,9,2cf697b61c98dd0cb00480578b3af5a616fcfb2f,http://www.tdwg.org/standards/150,,,,c76defe7-4196-4beb-ab47-451420cc9a34,http://www.tdwg.org/standards/150,Q1860,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,6399f8ed-452e-f007-8fdc-c0cd027eb3ff,Q4914768,c9bbd6638b97d8766d64d928f1c3b833f45efdd2,http://www.tdwg.org/standards/,2ccb9d3603f3ccd5196d2c5d29246e6d,2022-05-12T00:00:00Z,11,,,,,,,
